title,rating,director,genres
Adoráveis Mulheres,7.881,Greta Gerwig,"Drama, Romance, História"
Adoráveis Mulheres,7.881,Greta Gerwig,"Drama, Romance, História"
Eu Sou Cuba,7.8,Mikhail Kalatozov,Drama
Monty Python em Busca do Cálice Sagrado,7.802,Terry Jones,"Aventura, Comédia, Fantasia"
As Bicicletas de Belleville,7.377,Sylvain Chomet,"Animação, Comédia, Drama"
O Homem Que Queria Ser Rei,7.495,John Huston,"Aventura, Drama"
Sweeney Todd: O Barbeiro Demoníaco da Rua Fleet,7.183,Tim Burton,"Drama, Terror"
Ex Libris: The New York Public Library,6.2,Frederick Wiseman,Documentário
O Massacre da Serra Elétrica,7.287,Tobe Hooper,Terror
Tótem,6.875,Lila Avilés,"Drama, Comédia"
Stories We Tell,7.06,Sarah Polley,Documentário
O Menino e a Garça,7.506,Hayao Miyazaki,"Animação, Aventura, Fantasia, Família"
"Uma Fábrica de Pão, Parte 1; Por Causa do Ouro",6.6,Patrick Wang,"Drama, Comédia"
Taxi Teerã,7.043,Jafar Panahi,"Comédia, Drama"
Ida,7.243,Paweł Pawlikowski,Drama
All the Beauty and the Bloodshed,7.453,Laura Poitras,Documentário
Bom Trabalho,6.959,Claire Denis,Drama
Ela,7.856,Spike Jonze,"Romance, Ficção científica, Drama"
Valsa com Bashir,7.696,Ari Folman,"Drama, Animação, Guerra, Documentário"
Hit the Road,0.0,Joe May,"Crime, Comédia"
"Isso Não é um Enterro, é uma Ressurreição",7.304,Lemohang Jeremiah Mosese,Drama
Eles Não Envelhecerão,7.788,Peter Jackson,"Documentário, História, Guerra"
A Favorita,7.516,Yorgos Lanthimos,"Drama, Comédia, Thriller, História"
O Doce Amanhã,6.91,Atom Egoyan,Drama
Os Eleitos: Onde o Futuro Começa,7.445,Philip Kaufman,"Drama, História, Aventura"
Nostalgia da Luz,7.392,Patricio Guzmán,Documentário
The Gatekeepers,0.0,Desconhecido,
Antes do Pôr do Sol,7.816,Richard Linklater,"Drama, Romance"
La Chimera,7.4,Alice Rohrwacher,"Comédia, Drama, Aventura, Fantasia"
A Pior Pessoa do Mundo,7.503,Joachim Trier,"Drama, Romance, Comédia"
O Resgate do Soldado Ryan,8.218,Steven Spielberg,"Drama, História, Guerra"
Licorice Pizza,6.978,Paul Thomas Anderson,"Drama, Comédia, Romance"
32 Sounds,5.5,Sam Green,Documentário
Traídos pelo desejo,6.8,Neil Jordan,"Crime, Drama, Thriller"
A Primeira Vaca da América,7.0,Kelly Reichardt,"Drama, Faroeste"
Mad Max: Estrada da Fúria,7.613,George Miller,"Ação, Aventura, Ficção científica"
O Samurai,7.771,Jean-Pierre Melville,"Crime, Thriller"
Halloween - A Noite do Terror,7.558,John Carpenter,"Terror, Thriller"
Halloween - A Noite do Terror,7.558,John Carpenter,"Terror, Thriller"
Halloween - A Noite do Terror,7.558,John Carpenter,"Terror, Thriller"
Halloween - A Noite do Terror,7.558,John Carpenter,"Terror, Thriller"
Ghost World: Aprendendo a Viver,7.079,Terry Zwigoff,"Comédia, Drama"
Inverno da Alma,6.811,Debra Granik,"Drama, Mistério"
A Rainha,6.962,Stephen Frears,"Drama, História"
O Julgamento de Viviane Amsalem,7.569,Shlomi Elkabetz,Drama
I Called Him Morgan,7.191,Kasper Collin,"Música, Documentário, História"
Todos Nós Desconhecidos,7.497,Andrew Haigh,"Romance, Drama, Fantasia"
