id,titulo,nota,tipo de nota,diretor,generos
5115,Monster: Desejo Assassino,7.2,0 a 10,Patty Jenkins,"Crime, Drama"
5116,Monsternado,5.3,0 a 10,Tyler-James,"Terror, Ficção científica"
5117,Monsters: Dark Continent,4.8,0 a 10,Tom Green,"Thriller, Drama, Ficção científica"
5118,Monstro,7.982,0 a 10,Hirokazu Kore-eda,"Mistério, Thriller, Drama"
5119,Monstros,6.2,0 a 10,Gareth Edwards,"Drama, Thriller, Ficção científica"
5120,Monstros S.A.,7.846,0 a 10,Pete Docter,"Animação, Comédia, Família"
5121,Monstros vs Alienígenas,6.223,0 a 10,Rob Letterman,"Animação, Família, Aventura, Ficção científica"
5122,"Monstros, Não Amolem!",6.4,0 a 10,Earl Bellamy,"Comédia, Família, Terror"
5123,Monstros: A Maldição do Dragão,7.0,0 a 10,Sunghoo Park,"Animação, Ação, Fantasia, Aventura"
5124,Monstrous,5.9,0 a 10,Chris Sivertson,"Terror, Mistério, Thriller"
5125,Montanha Gelada,6.923,0 a 10,Anthony Minghella,"Drama, Guerra, História, Aventura, Romance"
5126,Monte Carlo,6.566,0 a 10,Thomas Bezucha,"Aventura, Comédia, Romance"
5127,Monty Python em Busca do Cálice Sagrado,7.802,0 a 10,Terry Gilliam,"Aventura, Comédia, Fantasia"
5128,Moonfall: Ameaça Lunar,6.326,0 a 10,Roland Emmerich,"Ficção científica, Aventura, Ação"
5129,Moonlight: Sob a Luz do Luar,4.7,0 a 10, Barry Jenkins,Drama
5130,Moonrise Kingdom,7.695,0 a 10,Wes Anderson,"Comédia, Drama, Romance"
5131,Moontrap,4.8,0 a 10,Robert Dyke,"Terror, Ficção científica"
5132,Moonwalker,6.929,0 a 10,Colin Chilvers,"Fantasia, Música"
5133,Morando com o Crush,6.0,0 a 10,Hsu Chien,"Comédia, Romance"
5134,Morbius,6.019,0 a 10,Daniel Espinosa,"Ação, Ficção científica, Fantasia"
5135,Morrendo e Aprendendo,6.899,0 a 10,Ron Underwood,"Fantasia, Comédia, Romance"
5136,Mortal Kombat,4.4,0 a 10, Paul W.S. Anderson,"Ação, Fantasia"
5137,Mortal Kombat Legends: A Vingança de Scorpion,8.103,0 a 10,Ethan Spaulding,"Animação, Ação, Fantasia"
5138,Mortal Kombat Legends: Batalha dos Reinos,7.62,0 a 10,Ethan Spaulding,"Animação, Ação, Fantasia"
5139,Mortal Kombat Legends: Cage Bom de Luta,6.735,0 a 10,Ethan Spaulding,"Animação, Ação, Fantasia, Aventura"
5140,Mortal Kombat Legends: Cegueira Glacial,7.77,0 a 10,Rick Morales,"Animação, Ação, Fantasia"
5141,Mortal Kombat: A Aniquilação,4.497,0 a 10,John R. Leonetti,"Ação, Fantasia, Ficção científica"
5142,Mortal Kombat: O Filme,5.851,0 a 10,Paul W. S. Anderson,"Ação, Fantasia"
5143,Mortalmente Perigosa,7.5,0 a 10,Joseph H. Lewis,"Crime, Romance, Thriller"
5144,Mortdecai: A Arte da Trapaça,5.514,0 a 10,David Koepp,"Comédia, Aventura"
5145,Morte Súbita,4.2,0 a 10, Peter Hyams,"Ação, Terror, Thriller"
5146,Morte no Funeral,5.838,0 a 10,Neil LaBute,Comédia
5147,Morte no Nilo,6.432,0 a 10,Kenneth Branagh,"Mistério, Crime, Thriller"
5148,"Morte, Morte, Morte",6.248,0 a 10,Halina Reijn,"Terror, Comédia, Mistério"
5149,Moscou Contra 007,7.068,0 a 10,Terence Young,"Ação, Thriller, Aventura"
5150,Mother - A Busca Pela Verdade,7.725,0 a 10,Bong Joon Ho,"Crime, Drama, Mistério"
5151,"Mother, Couch!",7.2,0 a 10,Niclas Larsson,"Comédia, Drama"
5152,Motoqueiro Fantasma,5.575,0 a 10,Mark Steven Johnson,"Thriller, Ação, Fantasia"
5153,Motoqueiro Fantasma: Espírito de Vingança,5.013,0 a 10,Mark Neveldine,"Ação, Fantasia, Thriller"
5154,Motoqueiros Selvagens,5.964,0 a 10,Walt Becker,"Ação, Aventura, Comédia"
5155,"Mouchette, A Virgem Possuída",7.451,0 a 10,Robert Bresson,Drama
5156,Moulin Rouge,4.4,0 a 10,Baz Luhrmann,"Drama, Romance, Música"
5157,Moulin Rouge: Amor em Vermelho,7.564,0 a 10,Baz Luhrmann,"Drama, Romance, Música"
5158,Mousa,6.603,0 a 10,Peter Mimi,"Ação, Aventura, Ficção científica"
5159,Movidos Pelo Ódio,6.7,0 a 10,Elia Kazan,"Drama, Romance"
5160,Movimentos Noturnos,5.834,0 a 10,Kelly Reichardt,"Thriller, Drama"
5161,Moving Valentine,0.0,0 a 10,Sean King,Comédia
5162,Moça com Brinco de Pérola,6.6,0 a 10,Peter Webber,"Drama, Romance"
5163,Mr. Bean - O Filme,6.5,0 a 10,Mel Smith,"Família, Aventura, Comédia"
5164,Mr. Bones 3: Son of Bones,6.7,0 a 10,Gray Hofmeyr,Comédia
5165,Mr. Nanny: Uma Babá de Peso,5.073,0 a 10,Michael Gottlieb,"Família, Comédia"
5166,Mr. Nice Guy: Bom de Briga,6.505,0 a 10,Sammo Hung,"Crime, Ação, Comédia"
5167,Mr. Vampire IV,7.19,0 a 10,Ricky Lau,"Terror, Comédia"
5168,Mrtav 'ladan,7.5,0 a 10,Milorad Milinković,"Drama, Comédia"
5169,Mucha mierda,0.0,0 a 10,Alba Sotorra,Documentário
5170,Mudança de Hábito,6.826,0 a 10,Emile Ardolino,"Música, Comédia"
5171,Mudança de Hábito 2: Mais Loucuras no Convento,6.366,0 a 10,Bill Duke,"Música, Comédia"
5172,Mudbound,4.5,0 a 10, Dee Rees,Drama
5173,Mufasa: O Rei Leão,0.0,0 a 10,Barry Jenkins,"Aventura, Família, Drama"
5174,Mugaritz. Sin pan ni postre,0.0,0 a 10,Paco Plaza,Documentário
5175,Muito Além do Jardim,7.618,0 a 10,Hal Ashby,"Comédia, Drama"
5176,Muito Bem Acompanhada,6.814,0 a 10,Clare Kilner,"Romance, Comédia"
5177,Muitos Vivos,4.0,0 a 10,Andrew Stanton,"Faroeste, Música, Comédia"
5178,Mukidi,4.2,0 a 10,Anggy Umbara,Comédia
5179,Mulan,4.4,0 a 10,Tony Bancroft,"Animação, Família, Aventura"
5180,Mulan 2: A Lenda Continua,6.487,0 a 10,Darrell Rooney,"Animação, Comédia, Família, Ação"
5181,Mulher Infernal,5.672,0 a 10,Dennis Dugan,"Comédia, Crime, Romance"
5182,Mulher Nota 10,5.723,0 a 10,Blake Edwards,"Comédia, Romance"
5183,Mulher Nota 1000,6.528,0 a 10,John Hughes,"Comédia, Fantasia, Ficção científica"
5184,Mulher-Gato,4.599,0 a 10,Pitof,"Ação, Fantasia, Crime"
5185,Mulher-Gato: A Caçada,5.667,0 a 10,Shinsuke Terasawa,"Animação, Ação, Crime"
5186,Mulher-Maravilha,7.225,0 a 10,Patty Jenkins,"Ação, Aventura, Fantasia"
5187,Mulher-Maravilha 1984,6.432,0 a 10,Patty Jenkins,"Ação, Aventura, Fantasia"
5188,Mulher-Maravilha: Linhagem de Sangue,6.9,0 a 10,Sam Liu,"Ficção científica, Animação"
5189,Mulher?,6.8,0 a 10,James Bird,"Ficção científica, Mistério, Thriller"
5190,Mulheres Diabólicas,7.3,0 a 10,Claude Chabrol,"Drama, Thriller"
5191,Mulheres Perfeitas,5.688,0 a 10,Frank Oz,"Comédia, Ficção científica, Terror"
5192,Mulheres ao Ataque,6.425,0 a 10,Nick Cassavetes,"Comédia, Romance"
5193,Mulheres canibais no abacate selva da morte,4.593,0 a 10,J.F. Lawton,"Terror, Comédia, Aventura, Romance, Ação"
5194,Mulholland Dr.,7.8,0 a 10,David Lynch,"Thriller, Cinema TV, Drama, Mistério"
5195,Multiple Maniacs,6.4,0 a 10,John Waters,"Comédia, Crime, Terror"
5196,Multiverso - Realidade Paralela,6.701,0 a 10,Gaurav Seth,"Ficção científica, Thriller, Drama"
5197,Mundo Estranho,6.335,0 a 10,Don Hall,"Animação, Família, Aventura, Ficção científica, Fantasia"
5198,Mundo Proibido,5.6,0 a 10,Ralph Bakshi,"Animação, Comédia, Fantasia"
5199,Mundo em Caos,6.59,0 a 10,Doug Liman,"Fantasia, Ficção científica, Aventura"
5200,Mundos Opostos,6.274,0 a 10,Juan Diego Solanas,"Romance, Ficção científica, Drama, Fantasia"
5201,Munique,7.148,0 a 10,Steven Spielberg,"Drama, Ação, História, Thriller"
5202,Munkar,5.25,0 a 10,Anggy Umbara,Terror
5203,Muppets Haunted Mansion: A Festa Aterrorizante,6.446,0 a 10,Kirk R. Thatcher,"Comédia, Família, Cinema TV"
5204,Muppets: O Filme,7.18,0 a 10,James Frawley,"Comédia, Aventura, Música, Família"
5205,Musa,6.961,0 a 10,Kim Sung-soo,"História, Drama, Ação, Guerra"
5206,Museu de Cera,6.921,0 a 10,André de Toth,"Terror, Crime"
5207,Mushroom Cut,0.0,0 a 10,Kuba Szutkowski,
5208,Must auk,0.0,0 a 10,Moonika Siimets,"Comédia, Drama"
5209,Mutação 2,5.3,0 a 10,Jean de Segonzac,"Terror, Ficção científica, Thriller"
5210,Muti: Crime e Poder,5.926,0 a 10,George Gallo,"Mistério, Thriller, Ação, Drama"
5211,Mutronics: O Futuro da Raça Humana,5.597,0 a 10,Steve Wang,"Ficção científica, Ação"
5212,Mutt,5.842,0 a 10,Vuk Lungulov-Klotz,Drama
5213,My Hero Academia: Agora é a Sua Vez,6.5,0 a 10,Tensai Okamura,"Animação, Ação, Aventura, Ficção científica"
5214,My Hero Academia: Missão Mundial de Heróis,7.613,0 a 10,Kenji Nagasaki,"Animação, Ação, Aventura, Ficção científica, Fantasia"
5215,My Hero Academia: O Filme - 2 Heróis,7.913,0 a 10,Kenji Nagasaki,"Animação, Ação, Aventura, Fantasia"
5216,My Hero Academia: O Filme – Ascensão dos Heróis,8.179,0 a 10,Kenji Nagasaki,"Animação, Ação, Fantasia, Aventura"
5217,"My Little Pony, Equestria Girls: A Lenda de Everfree",7.238,0 a 10,Ishi Rudell,"Aventura, Animação, Música, Fantasia, Comédia"
5218,My Little Pony: Equestria Girls,7.341,0 a 10,Jayson Thiessen,"Animação, Comédia, Família, Fantasia, Música"
5219,My Little Pony: Nova Geração,7.711,0 a 10,Robert Cullen,"Animação, Família, Fantasia, Comédia, Aventura"
5220,My Little Pony: O Filme,7.2,0 a 10,Jayson Thiessen,"Família, Animação, Aventura, Fantasia"
5221,My Next Life as a Villainess: All Routes Lead to Doom! Movie,7.7,0 a 10,Keisuke Inoue,"Animação, Comédia, Drama, Fantasia"
5222,My Old Ass,5.7,0 a 10,Megan Park,"Comédia, Drama"
5223,My Sassy Girl,7.515,0 a 10,Kwak Jae-yong,"Drama, Comédia, Romance"
5224,Má Educação,7.4,0 a 10,Pedro Almodóvar,"Drama, Crime"
5225,Máfia da Dor,6.643,0 a 10,David Yates,Drama
5226,Máquina Mortífera,7.289,0 a 10,Richard Donner,"Aventura, Ação, Comédia, Thriller, Crime"
5227,Máquina Mortífera 2,7.013,0 a 10,Richard Donner,"Ação, Aventura, Comédia, Crime, Thriller"
5228,Máquina Mortífera 3,6.697,0 a 10,Richard Donner,"Aventura, Ação, Comédia, Thriller, Crime"
5229,Máquina Mortífera 4,6.588,0 a 10,Richard Donner,"Ação, Aventura, Comédia, Crime, Thriller"
5230,Máquinas Mortais,6.209,0 a 10,Christian Rivers,"Aventura, Ficção científica"
5231,Mártires,7.315,0 a 10,Pascal Laugier,"Terror, Drama, Thriller"
5232,Mãe e Pai,5.38,0 a 10,Brian Taylor,"Comédia, Terror"
5233,Mãos Talentosas: A História de Ben Carson,7.8,0 a 10,Thomas Carter,Drama
5234,Mãos de Pedra: A História Verdadeira de Roberto Durán,6.6,0 a 10,Jonathan Jakubowicz,Drama
5235,Mírame,6.8,0 a 10,Pavel Cantú,Terror
5236,Música,6.434,0 a 10,Rudy Mancuso,"Romance, Comédia, Música"
5237,Música e Lágrimas,6.9,0 a 10,Anthony Mann,"Drama, Música, Romance"
5238,"Música, Amigos e Festa",6.768,0 a 10,Max Joseph,"Drama, Música, Romance, Comédia"
5239,M家の新妻 変態洗礼,5.8,0 a 10,Tadashi Kyouya,"Drama, Romance"
5240,NYAD,7.102,0 a 10,Elizabeth Chai Vasarhelyi,"Drama, História"
5241,Na Cama com Madonna,4.0,0 a 10,Jean-Baptiste Mondino,"Música, Documentário"
5242,Na Companhia do Mal,5.769,0 a 10,William Brent Bell,"Terror, Mistério"
5243,Na Corda Bamba,7.529,0 a 10,Billy Bob Thornton,Drama
5244,Na Hora da Zona Morta,7.026,0 a 10,David Cronenberg,"Thriller, Terror, Ficção científica"
5245,Na Idade da Inocência,7.129,0 a 10,François Truffaut,"Comédia, Drama"
5246,Na Mira do Atirador,6.362,0 a 10,Doug Liman,"Guerra, Thriller, Drama"
5247,Na Mira do Chefe,7.489,0 a 10,Martin McDonagh,"Comédia, Drama, Crime"
5248,Na Mira do Inimigo,5.2,0 a 10,Derek Presley,"Ação, Crime, Thriller, Drama, Mistério"
5249,Na Mira do Perigo,6.843,0 a 10,Robert Lorenz,"Ação, Drama, Thriller"
5250,Na Natureza Selvagem,7.804,0 a 10,Sean Penn,"Aventura, Drama"
5251,Na Onda do Rap,4.978,0 a 10,David Kellogg,"Romance, Música, Comédia"
5252,Na Palma da Mão,7.35,0 a 10,Kim Tae-joon,Thriller
5253,Na Pele de Minha Mãe,5.9,0 a 10,Kenneth Lim Dagatan,"Terror, Fantasia, Guerra"
5254,Na Ponta dos Dedos,5.871,0 a 10,Christos Nikou,"Romance, Ficção científica, Drama"
5255,Na Roda da Fortuna,7.1,0 a 10,Joel Coen,Comédia
5256,Na Selva,6.613,0 a 10,Greg McLean,"Aventura, Drama, Thriller"
5257,Na Teia da Aranha,6.339,0 a 10,Lee Tamahori,"Crime, Mistério, Thriller, Ação"
5258,Na Terra de Amor e Ódio,5.8,0 a 10,Angelina Jolie,"Drama, Romance, Guerra"
5259,Na Terra de Santos e Pecadores,6.586,0 a 10,Robert Lorenz,"Ação, Thriller"
5260,Nada a Perder,6.536,0 a 10,Steve Oedekerk,"Comédia, Crime"
5261,Nada de Novo no Front,7.732,0 a 10,Edward Berger,"Drama, Guerra, Ação"
5262,Nada é para Sempre,7.0,0 a 10,Robert Redford,"Drama, Família"
5263,Nahir – Entre a Paixão e as Grades,6.0,0 a 10,Hernán Guerschuny,"Crime, Drama, Thriller"
5264,Nai niu,0.0,0 a 10,YoYo Liu,Drama
5265,Namorada de Aluguel,6.928,0 a 10,Steve Rash,"Drama, Comédia, Romance"
5266,Nancy Drew e o Mistério de Hollywood,6.08,0 a 10,Andrew Fleming,"Família, Aventura, Crime, Mistério, Comédia"
5267,Nanny McPhee 2: E as Lições Mágicas,6.295,0 a 10,Susanna White,"Comédia, Fantasia, Família"
5268,Nanny McPhee: A Babá Encantada,6.674,0 a 10,Kirk Jones,"Fantasia, Comédia, Família"
5269,Napoleon Dynamite,6.774,0 a 10,Jared Hess,Comédia
5270,Napoleão,6.423,0 a 10,Ridley Scott,"História, Guerra, Romance, Drama"
5271,Narc,6.718,0 a 10,Joe Carnahan,"Crime, Drama, Mistério"
5272,Narciso Negro,7.5,0 a 10,Michael Powell,Drama
5273,Naruto Shippuden 2: Laços,7.263,0 a 10,Hajime Kamegaki,"Fantasia, Animação, Ação"
5274,Naruto Shippuden 3: Herdeiros da Vontade do Fogo,7.3,0 a 10,Masahiko Murata,"Ação, Aventura, Comédia, Drama, Fantasia, Animação"
5275,Naruto Shippuden 4: A Torre Perdida,7.096,0 a 10,Masahiko Murata,"Aventura, Ação, Animação"
5276,Naruto Shippuden 5: O Filme: Prisão de Sangue,7.4,0 a 10,Masahiko Murata,"Thriller, Animação, Ação, Comédia, Terror, Mistério"
5277,Naruto Shippuden: O Filme,7.4,0 a 10,Hajime Kamegaki,"Animação, Ação, Fantasia"
5278,Naruto: A Lenda da Pedra de Gelel,6.693,0 a 10,Hirotsugu Kawasaki,"Animação, Aventura, Fantasia"
5279,Naruto: Guardiões do Reino da Lua Crescente,7.105,0 a 10,Toshiyuki Tsuru,"Aventura, Animação, Ação"
5280,Naruto: O Confronto Ninja no País da Neve,7.3,0 a 10,Tensai Okamura,"Comédia, Ação, Animação, Aventura"
5281,Naruto: OVA 2 - Batalha na Cachoeira Escondida. Eu sou o Herói!,7.3,0 a 10,Hayato Date,"Animação, Ação, Aventura"
5282,Nas Profundezas do Mar sem Fim,6.497,0 a 10,Ulu Grosbard,"Drama, Mistério"
5283,Nasce Uma Estrela,6.0,0 a 10,Frank Pierson,"Drama, Música, Romance"
5284,Nasce uma Estrela,4.6,0 a 10, Bradley Cooper,"Música, Drama, Romance"
5285,Nascido Para Matar,4.4,0 a 10, Stanley Kubrick,"Drama, Guerra"
5286,Nascido para Lutar,6.372,0 a 10,Panna Rittikrai,"Crime, Ação, Thriller"
5287,Natal Branco,7.218,0 a 10,Michael Curtiz,"Comédia, Música, Romance"
5288,Natal em Família,5.956,0 a 10,Arlene Sanford,"Comédia, Família"
5289,"Natsu e no Tunnel, Sayonara no Deguchi",7.7,0 a 10,Tomohisa Taguchi,"Animação, Drama, Romance, Fantasia"
5290,Natty Knocks,5.2,0 a 10,Dwight H. Little,"Terror, Thriller"
5291,Nausicaä do Vale do Vento,7.94,0 a 10,Hayao Miyazaki,"Aventura, Animação, Fantasia"
5292,Navio Fantasma,5.955,0 a 10,Steve Beck,"Terror, Mistério, Thriller"
5293,Need for Speed: O Filme,6.42,0 a 10,Scott Waugh,"Ação, Crime, Drama, Thriller"
5294,Nefarious,6.803,0 a 10,Cary Solomon,"Terror, Thriller"
5295,Negação,6.858,0 a 10,Mick Jackson,"Drama, História"
5296,Negócio Arriscado,6.608,0 a 10,Paul Brickman,"Romance, Comédia, Drama"
5297,Negócio das Arábias,5.843,0 a 10,Tom Tykwer,"Comédia, Drama"
5298,Negócios de Família,5.698,0 a 10,Sidney Lumet,"Crime, Drama, Comédia"
5299,Nekromantik,5.173,0 a 10,Jörg Buttgereit,"Drama, Terror"
5300,Nell,6.561,0 a 10,Michael Apted,"Drama, Thriller"
5301,Nem Que a Vaca Tussa,6.055,0 a 10,John Sanford,"Animação, Família"
5302,Nem Tudo é Negociável,6.035,0 a 10,Juan Taratuto,"Ação, Thriller, Comédia, Drama"
5303,Nem Tudo é o Que Parece,6.9,0 a 10,Matthew Vaughn,"Drama, Thriller, Crime"
5304,Neon Genesis Evangelion: Morte e Renascimento,7.386,0 a 10,Hideaki Anno,"Animação, Drama, Ficção científica"
5305,Neon Genesis Evangelion: O Fim do Evangelho,8.305,0 a 10,Kazuya Tsurumaki,"Animação, Ficção científica, Ação, Drama"
5306,Nerve: Um Jogo Sem Regras,7.025,0 a 10,Henry Joost,"Mistério, Aventura, Crime"
5307,Neste Canto do Mundo,7.919,0 a 10,Sunao Katabuchi,"Drama, Animação, Romance, Guerra, História"
5308,Never Sleep Again: The Elm Street Legacy,7.809,0 a 10,Daniel Farrands,Documentário
5309,Never Too Young to Rock,4.7,0 a 10,Dennis Abey,"Ficção científica, Música"
5310,New Jack City: A Gangue Brutal,6.603,0 a 10,Mario Van Peebles,"Thriller, Crime, Drama"
5311,New Life,6.167,0 a 10,John Rosman,"Terror, Thriller, Mistério, Ficção científica"
5312,Nezha: O Renascer de um Deus,8.111,0 a 10,Zhao Ji,"Animação, Ação, Fantasia"
5313,Ni chaînes ni maîtres,6.167,0 a 10,Simon Moutaïrou,"Drama, História"
5314,Nice Girls,5.284,0 a 10,Noémie Saglio,"Comédia, Crime, Ação"
5315,Nick & Norah: Uma Noite de Amor e Música,6.461,0 a 10,Peter Sollett,"Comédia, Música, Drama, Romance"
5316,"Nico, Acima da Lei",6.074,0 a 10,Andrew Davis,"Ação, Thriller, Drama"
5317,Night Train,5.9,0 a 10,Shane Stanley,"Ação, Thriller, Crime"
5318,Night of the Demon,6.967,0 a 10,Jacques Tourneur,"Fantasia, Terror, Mistério"
5319,Night of the Hunted,6.1,0 a 10,Franck Khalfoun,"Terror, Mistério, Thriller"
5320,Nightmare at Shadow Woods,5.82,0 a 10,John Grissmer,"Terror, Thriller"
5321,Nikita: Criada para Matar,7.102,0 a 10,Luc Besson,"Ação, Thriller"
5322,"Niko 2: Irmão Pequeno, Problema Grande",6.1,0 a 10,Kari Juusonen,"Animação, Família, Aventura, Comédia"
5323,Nimona,7.901,0 a 10,Troy Quane,"Aventura, Animação, Fantasia, Família, Ação, Ficção científica"
5324,Nina,7.5,0 a 10,Andrea Jaurrieta,"Drama, Thriller"
5325,Nina et le secret du hérisson,7.3,0 a 10,Alain Gagnol,"Animação, Família"
5326,Nina: A Heroína dos Sete Mares,6.823,0 a 10,David Alaux,"Animação, Aventura, Fantasia, Família, Comédia"
5327,Ninfomaniaca: Volume 2,6.735,0 a 10,Lars von Trier,"Drama, Mistério"
5328,"Ninguém Merece, Frida",7.695,0 a 10,Nacho G. Velilla,Comédia
5329,Ninguém Pode Saber,8.0,0 a 10,Hirokazu Kore-eda,Drama
5330,Ninguém Sai Vivo,5.874,0 a 10,Santiago Menghini,"Terror, Mistério, Thriller"
5331,Ninguém Segura Este Bebê,6.4,0 a 10,Patrick Read Johnson,"Comédia, Aventura, Família, Crime, Drama"
5332,Ninguém Vai te Salvar,6.694,0 a 10,Brian Duffield,"Terror, Ficção científica, Thriller"
5333,Ninho do Mal,6.267,0 a 10,Hanna Bergholm,"Terror, Fantasia, Drama"
5334,Ninja,6.115,0 a 10,Isaac Florentine,"Ação, Crime, Drama, Thriller"
5335,Ninja 2: A Vingança,6.659,0 a 10,Isaac Florentine,"Ação, Crime, Thriller"
5336,Ninja Assassino,6.64,0 a 10,James McTeigue,"Ação, Aventura, Thriller"
5337,Ninja Scroll: O Filme,7.7,0 a 10,Yoshiaki Kawajiri,"Fantasia, Aventura, Animação, Ação"
5338,Ninjago: Mestres do Spinjitzu - Dia da Despedida,7.15,0 a 10,Peter Hausner,"Animação, Fantasia, Ação, Aventura, Cinema TV"
5339,Ninotchka,7.5,0 a 10,Ernst Lubitsch,"Comédia, Romance"
5340,No Balanço do Amor,6.524,0 a 10,Thomas Carter,"Drama, Família, Romance, Música"
5341,No Cair da Noite,5.6,0 a 10,Jonathan Liebesman,"Thriller, Terror"
5342,No Calor da Noite,7.634,0 a 10,Norman Jewison,"Crime, Drama, Mistério, Thriller"
5343,No Coração do Mar,6.8,0 a 10,Ron Howard,"Thriller, Drama, Aventura, Ação, História"
5344,No Game No Life: Zero,7.782,0 a 10,Atsuko Ishizuka,"Aventura, Animação, Drama, Fantasia, Romance"
5345,No Half Measures: Creating the Final Season of Breaking Bad,8.4,0 a 10,Stuart Richardson,Documentário
5346,No Limite,6.841,0 a 10,Lee Tamahori,"Ação, Aventura, Drama"
5347,No Limite da Realidade,6.466,0 a 10,George Miller,"Terror, Fantasia, Ficção científica"
5348,No Limite do Amanhã,7.624,0 a 10,Doug Liman,"Ação, Ficção científica"
5349,No Limite: A História de Ernie Davis,7.1,0 a 10,Gary Fleder,Drama
5350,No Manches Frida 2: Paraíso Destruído,7.963,0 a 10,Nacho G. Velilla,Comédia
5351,No Mundo da Lua,7.366,0 a 10,Robert Mulligan,"Drama, Família, Romance"
5352,No Mundo de 2020,6.9,0 a 10,Richard Fleischer,"Ficção científica, Thriller, Crime"
5353,No Name and Dynamite,5.5,0 a 10,Errol Sack,Faroeste
5354,No Olho do Furacão,5.682,0 a 10,Rob Cohen,"Ação, Aventura, Crime, Thriller"
5355,No Olho do Tornado,4.1,0 a 10, Steven Quale,"Ação, Thriller"
5356,No Pique de Nova York,6.187,0 a 10,Dennie Gordon,Comédia
5357,No Portal da Eternidade,6.951,0 a 10,Julian Schnabel,Drama
5358,No Rastro da Bala,6.982,0 a 10,Wayne Kramer,"Ação, Crime, Drama, Thriller"
5359,No Ritmo da Dança,6.91,0 a 10,Randa Haines,"Drama, Música, Romance"
5360,No Ritmo do Coração,7.935,0 a 10,Siân Heder,"Drama, Música, Romance"
5361,No Silêncio da Noite,7.56,0 a 10,Nicholas Ray,"Drama, Romance, Mistério, Crime"
5362,No Topo do Poder,5.617,0 a 10,Ben Wheatley,Drama
5363,No Vale das Sombras,6.776,0 a 10,Paul Haggis,"História, Drama, Thriller, Crime, Mistério"
5364,No Voltees,0.0,0 a 10,Alejandro Hidalgo,Terror
5365,Nobody's Home,6.0,0 a 10,Michelle Bossy,"Thriller, Drama, Comédia"
5366,Nocaute,7.0,0 a 10,Christian Sesma,"Ação, Thriller"
5367,Noche de Bodas,7.3,0 a 10,Osvaldo Benavides,"Comédia, Romance"
5368,Noite Infeliz,7.315,0 a 10,Tommy Wirkola,"Comédia, Ação"
5369,Noite Passada em Soho,7.325,0 a 10,Edgar Wright,"Mistério, Thriller, Terror"
5370,Noite Sangrenta,6.1,0 a 10,Neil LaBute,"Ação, Thriller"
5371,Noite Sem Fim,6.4,0 a 10,Jaume Collet-Serra,"Ação, Crime, Thriller"
5372,Noite de Estréia,7.6,0 a 10,John Cassavetes,Drama
5373,Noite de Jogos,5.676,0 a 10,Marco Petry,"Comédia, Thriller, Romance"
5374,Noite de Natal,7.0,0 a 10,Edwin L. Marin,"Drama, Fantasia, Família"
5375,Noite de Paz,4.4,0 a 10, Emma Roberts,"Drama, Família"
5376,Noite do Terror,5.45,0 a 10,Gregory Dark,"Terror, Thriller"
5377,Noite dos Arrepios,6.678,0 a 10,Fred Dekker,"Terror, Comédia, Ficção científica"
5378,Noite e Neblina,8.207,0 a 10,Alain Resnais,"Documentário, Guerra"
5379,Noite no Paraíso,6.929,0 a 10,Park Hoon-jung,"Crime, Thriller, Ação"
5380,Noites Brutais,6.837,0 a 10,Zach Cregger,"Terror, Mistério, Thriller"
5381,Noites Pornôs no Mundo,5.7,0 a 10,Joe D'Amato,"Aventura, Drama, Terror"
5382,Noites de Cabíria,8.0,0 a 10,Federico Fellini,Drama
5383,Noites de Terror,5.462,0 a 10,Dennis Donnelly,Terror
5384,Noites de Tormenta,6.245,0 a 10,George C. Wolfe,"Drama, Romance"
5385,Noiva em Fuga,6.109,0 a 10,Garry Marshall,"Comédia, Romance"
5386,Noivas em Guerra,6.238,0 a 10,Gary Winick,"Comédia, Romance"
5387,"Noivo Neurótico, Noiva Nervosa",7.749,0 a 10,Woody Allen,"Comédia, Drama, Romance"
5388,Noivo em Pânico,6.768,0 a 10,Rick Famuyiwa,"Comédia, Drama, Romance"
5389,Nomadland,4.8,0 a 10, Chloé Zhao,Drama
5390,Nome de Família,6.731,0 a 10,Mira Nair,"Drama, Família"
5391,Nope,4.4,0 a 10, Jordan Peele,"Terror, Mistério, Ficção científica"
5392,Norbit - Uma Comédia de Peso,5.7,0 a 10,Brian Robbins,Comédia
5393,Norm e os Invencíveis,4.6,0 a 10,Trevor Wall,"Aventura, Animação, Comédia, Família"
5394,Noryang: Deadly Sea,6.3,0 a 10,Kim Han-min,"Ação, História, Drama, Guerra"
5395,Nos Bastidores da Fama,6.867,0 a 10,Gina Prince-Bythewood,"Romance, Drama"
5396,Nos Bastidores de Pantera Negra: Wakanda para Sempre,6.8,0 a 10,Brad Baruh,Documentário
5397,Nos Braços de um Assassino,7.86,0 a 10,Matías Moltrasio,"Romance, Thriller"
5398,Nos Vemos Em Vênus,7.064,0 a 10,Joaquín Llamas,"Romance, Drama"
5399,Nosferatu,7.7,0 a 10,F. W. Murnau,Terror
5400,"Nosferatu, o Vampiro da Noite",7.301,0 a 10,Werner Herzog,"Drama, Terror"
5401,Nossa Irmã Mais Nova,7.578,0 a 10,Hirokazu Kore-eda,Drama
5402,Nosso Amigo Extraordinário,7.269,0 a 10,Marc Turtletaub,"Comédia, Ficção científica, Drama"
5403,Nosso Lar 2: Os Mensageiros,7.0,0 a 10,Wagner de Assis,Drama
