titulo,nota,tipo de nota,diretor,generos
O Sexto Homem,6.111,0 a 10,Randall Miller,"Fantasia, Drama, Comédia, Ficção científica"
Rocketman,7.328,0 a 10,Dexter Fletcher,"Música, Drama"
O Atirador 4,5.9,0 a 10,Claudio Fäh,"Guerra, Ação, Thriller, Drama"
The Objective,5.458,0 a 10,Daniel Myrick,"Ação, Terror, Ficção científica, Thriller"
Os Segredos do Universo por Aristóteles e Dante,7.581,0 a 10,Aitch Alberto,"Romance, Drama"
"Bares, Bolos e Amizades",7.091,0 a 10,Trish Sie,"Romance, Comédia, Drama"
Uma Viagem ao Infinito,7.198,0 a 10,Jon Halperin,Documentário
Trocando os Pés,5.858,0 a 10,Tom McCarthy,"Fantasia, Comédia, Drama"
"Shaun, o Carneiro: O Filme",6.974,0 a 10,Mark Burton,"Família, Animação, Comédia, Aventura"
Frank e o Robô,6.922,0 a 10,Jake Schreier,"Ficção científica, Comédia, Drama, Crime"
Acorrentados,7.151,0 a 10,Stanley Kramer,"Crime, Drama"
Em Busca do Vale Encantado XIV: A Jornada dos Valentes,6.832,0 a 10,Tony Tupilano,"Animação, Aventura, Família"
Dragon Ball Z: O Plano Para Erradicar os Saiyajins,7.1,0 a 10,Yoshihiro Ueda,"Ação, Animação, Aventura"
Aventura Perdida de Scrat,6.902,0 a 10,Carlos Saldanha,"Animação, Aventura, Comédia, Família"
O Implacável,5.2,0 a 10,Stephen Kay,"Ação, Drama, Thriller, Crime"
O Dublê do Diabo,6.7,0 a 10,Lee Tamahori,"Drama, Ação, Thriller, Crime, Guerra"
Supernova,4.939,0 a 10,Walter Hill,"Ficção científica, Terror, Thriller"
Bratz: O Filme,5.7,0 a 10,Sean McNamara,"Comédia, Música, Família"
Recontagem,6.807,0 a 10,Jay Roach,"Drama, História, Cinema TV"
It's Such a Beautiful Day,7.9,0 a 10,Don Hertzfeldt,"Animação, Comédia"
No Coração do Mar,6.8,0 a 10,Ron Howard,"Thriller, Drama, Aventura, Ação, História"
A Morte num Beijo,7.2,0 a 10,Robert Aldrich,"Mistério, Thriller, Crime"
Ligações Perigosas,7.201,0 a 10,Stephen Frears,"Drama, Romance"
Depois da Vida,7.2,0 a 10,Hirokazu Kore-eda,"Fantasia, Drama"
A Volta de Fantomas,6.767,0 a 10,André Hunebelle,"Comédia, Crime, Aventura, Fantasia"
Exame,6.706,0 a 10,Stuart Hazeldine,"Thriller, Mistério"
Depois do Apocalipse,5.838,0 a 10,Mathieu Turi,"Drama, Terror, Romance, Ficção científica"
Tenemos la carne,5.098,0 a 10,Emiliano Rocha Minter,"Drama, Terror, Fantasia"
O Diário de Ellen Rimbauer,5.4,0 a 10,Craig R. Baxley,"Drama, Terror, Mistério, Thriller, Cinema TV"
Bando à Parte,7.534,0 a 10,Jean-Luc Godard,"Crime, Drama, Comédia"
Grito de Horror 3: A Nova Raça,4.525,0 a 10,Philippe Mora,Terror
A Elegância do Ouriço,7.256,0 a 10,Mona Achache,"Comédia, Drama"
Maggie Simpson em Rogue (Não Exatamente) One,6.122,0 a 10,David Silverman,"Animação, Família, Ficção científica, Comédia"
Entrevista com Deus,7.038,0 a 10,Perry Lang,"Drama, Mistério"
Social Man,0.0,0 a 10,Ali Bin Matar,"Comédia, Drama"
É o Bicho!,6.217,0 a 10,Tony Bancroft,"Comédia, Animação, Aventura"
Dois Velhos Mais Rabugentos,6.5,0 a 10,Howard Deutch,"Romance, Comédia"
Um Divã para Dois,6.262,0 a 10,David Frankel,"Drama, Comédia, Romance"
Onze Homens e Um Segredo,6.36,0 a 10,Lewis Milestone,"Crime, Comédia"
187: O Código,6.636,0 a 10,Kevin Reynolds,"Drama, Thriller"
A Isca Perfeita,5.9,0 a 10,Jez Butterworth,"Comédia, Crime, Thriller"
Próxima Parada: Apocalipse,5.276,0 a 10,David M. Rosenthal,"Ficção científica, Thriller, Mistério, Ação, Aventura"
"Olá, Eu preciso Ir",5.959,0 a 10,Todd Louiso,"Drama, Comédia, Romance"
Hokuto no Ken: Raoh Gaiden Gekitou-hen,6.661,0 a 10,Takahiro Imamura,"Animação, Ação"
Cosmic Sex,6.3,0 a 10,Amitabh Chakraborty,"Drama, Romance"
Estranhos Vizinhos,5.7,0 a 10,John G. Avildsen,Comédia
Lea,2.0,0 a 10,Erika Calmeyer,
Os Assassinos,6.9,0 a 10,Don Siegel,"Crime, Mistério"
O Terror do Mechagodzilla,6.9,0 a 10,Ishirō Honda,"Ficção científica, Ação, Drama"
人肉叉燒包Ⅱ之天誅地滅,5.4,0 a 10,Andy Ng Yiu-Kuen,Thriller
O Imperador do Norte,6.66,0 a 10,Robert Aldrich,"Aventura, Drama, Ação, Thriller"
O Vingador,6.078,0 a 10,F. Gary Gray,"Ação, Drama, Crime"
จันดารา,5.9,0 a 10,Nonzee Nimibutr,"Romance, Drama"
Tengen Toppa Gurren Lagann: Gurren-hen,7.7,0 a 10,Hiroyuki Imaishi,"Ação, Comédia, Animação"
"एलएसडी 2: लव, सेक्स और धोखा 2",6.1,0 a 10,Dibakar Banerjee,"Drama, Comédia, Crime"
Det var en gang en fjord,0.0,0 a 10,Frid Hildridatter Brox,
Takas,7.0,0 a 10,Roman Perez Jr.,Drama
O Universo no Olhar,7.598,0 a 10,Mike Cahill,"Ficção científica, Drama"
Ninguém Pode Saber,8.0,0 a 10,Hirokazu Kore-eda,Drama
Astérix e Obélix: A Serviço de sua Majestade,5.098,0 a 10,Laurent Tirard,"Família, Aventura, Comédia"
Mushroom Cut,0.0,0 a 10,Kuba Szutkowski,
Secret Défense,5.771,0 a 10,Philippe Haïm,Thriller
Cannibal Ferox,5.4,0 a 10,Umberto Lenzi,"Aventura, Terror"
Os Ritos Sexuais do Diabo,6.3,0 a 10,José Ramón Larraz,Terror
Batman: O Longo Dia das Bruxas - Parte 2,7.423,0 a 10,Chris Palmer,"Animação, Mistério, Ação, Crime"
O Grande Ivan,7.398,0 a 10,Thea Sharrock,"Família, Comédia, Drama"
The Trespasser,5.0,0 a 10,George Blair,"Ação, Crime, Romance"
Marvel One Shot: O Consultor,6.341,0 a 10,Leythum,"Aventura, Fantasia, Ficção científica, Ação"
Ritmo de um Sonho,7.128,0 a 10,Craig Brewer,"Crime, Drama, Música"
Quando um Homem Ama uma Mulher,6.489,0 a 10,Luis Mandoki,"Drama, Romance"
The Park,5.9,0 a 10,Shal Ngo,"Ação, Drama, Terror, Ficção científica, Thriller"
山海经之再见怪兽,6.0,0 a 10,Jianming Huang,"Animação, Fantasia, Aventura"
A Lenda dos Desaparecidos,6.349,0 a 10,Henry Hathaway,Aventura
Vênus,6.278,0 a 10,Jaume Balagueró,"Drama, Terror, Thriller"
Laços de um Crime,5.9,0 a 10,Nick Murphy,"Drama, Thriller, Crime"
La bella estate,5.7,0 a 10,Laura Luchetti,Drama
Caveat,6.111,0 a 10,Damian Mc Carthy,"Terror, Mistério"
Os Esquenta-Banco,5.857,0 a 10,Dennis Dugan,Comédia
Muppets Haunted Mansion: A Festa Aterrorizante,6.446,0 a 10,Kirk R. Thatcher,"Comédia, Família, Cinema TV"
Jezebel,7.1,0 a 10,William Wyler,"Drama, Romance"
Travessuras de Natal,6.207,0 a 10,Alberto Belli,"Família, Aventura, Comédia, Cinema TV, Crime"
Tenebre,6.853,0 a 10,Dario Argento,"Thriller, Terror, Mistério"
Norm e os Invencíveis,4.6,0 a 10,Trevor Wall,"Aventura, Animação, Comédia, Família"
Cantando de Galo: O Resgate dos Ovinhos,7.852,0 a 10,Gabriel Riva Palacio Alatriste,"Animação, Comédia, Aventura, Família"
Sangue e Honra,6.2,0 a 10,Jonathan English,"Romance, Aventura, Ação, História"
A Família da Noiva,5.977,0 a 10,Kevin Rodney Sullivan,"Comédia, Romance"
Um Dia Difícil,6.079,0 a 10,Régis Blondeau,"Ação, Thriller, Crime"
Preciosa: Uma História de Esperança,7.321,0 a 10,Lee Daniels,Drama
Lado a Lado,7.14,0 a 10,Chris Columbus,"Drama, Romance, Comédia"
John Rabe,7.1,0 a 10,Florian Gallenberger,"Drama, História, Guerra"
Mahou Shoujo Madoka Magica: Hangyaku no Monogatari,7.7,0 a 10,Yukihiro Miyamoto,"Mistério, Animação, Fantasia"
Um Homem Sério,6.728,0 a 10,Ethan Coen,"Comédia, Drama"
[REC] 2: Possuídos,6.608,0 a 10,Paco Plaza,"Thriller, Terror"
Fim do Mundo,5.957,0 a 10,McG,"Ficção científica, Aventura, Ação, Comédia"
ก้านกล้วย,7.481,0 a 10,Kompin Kemgumnird,"Animação, Família, Aventura"
Alguém Tem Que Ceder,6.6,0 a 10,Nancy Meyers,"Drama, Comédia, Romance"
Sob a Mesma Lua,7.727,0 a 10,Patricia Riggen,Drama
O Céu Que Nos Protege,6.5,0 a 10,Bernardo Bertolucci,"Drama, Aventura"
Muppets: O Filme,7.18,0 a 10,James Frawley,"Comédia, Aventura, Música, Família"
Paranóia,6.692,0 a 10,D. J. Caruso,"Thriller, Drama, Mistério"
Nossa Irmã Mais Nova,7.578,0 a 10,Hirokazu Kore-eda,Drama
Um Homem de Família,6.722,0 a 10,Mark Williams,Drama
O Segredo das Jóias,7.5,0 a 10,John Huston,"Crime, Drama"
Tubero,4.8,0 a 10,Topel Lee,Drama
Scooby-Doo! E o Monstro do México,7.302,0 a 10,Scott Jeralds,"Animação, Comédia, Família, Mistério"
A Morte Pede Carona,6.952,0 a 10,Robert Harmon,"Terror, Ação, Thriller"
一眉道人,6.3,0 a 10,Lam Ching-Ying,"Ação, Comédia, Terror"
O Espadachim,6.96,0 a 10,Tsui Hark,"Ação, Aventura"
Operação Final,6.715,0 a 10,Chris Weitz,"Drama, História, Thriller"
Mansão da Morte,4.852,0 a 10,Carol Frank,"Terror, Comédia"
Assassinos Sádicos,5.134,0 a 10,Adrian Langley,Terror
Assunto de Família,7.855,0 a 10,Hirokazu Kore-eda,"Drama, Crime, Thriller"
Assassino Invisível,5.745,0 a 10,Alfonso Gomez-Rejon,"Thriller, Terror"
Por Trás das Câmeras,5.799,0 a 10,Christopher Guest,Comédia
A Maldição da Ponte: Ritual,6.1,0 a 10,Lester Hsi,Terror
Fúria,5.3,0 a 10,Paco Cabezas,"Ação, Crime, Thriller"
Ferngully - As Aventuras de Zack e Crysta na Floresta Tropical,6.362,0 a 10,Bill Kroyer,"Família, Fantasia, Animação, Aventura"
Scooby-Doo! Halloween,7.82,0 a 10,Maxwell Atoms,"Família, Animação, Mistério, Comédia"
Detetive Conan: O Mistério do Atirador de Elite,6.9,0 a 10,Kobun Shizuno,"Animação, Ação, Drama, Mistério"
Os Últimos Embalos da Disco,6.3,0 a 10,Whit Stillman,"Comédia, Drama, Romance"
Futurama - A Besta de Um Bilhão de Traseiros,6.968,0 a 10,Peter Avanzino,"Animação, Comédia, Ficção científica, Cinema TV"
El caso Sancho: Episodio cero,9.0,0 a 10,Margarita Luis,Documentário
The Room,4.034,0 a 10,Tommy Wiseau,"Drama, Romance"
Carga Mortal,4.4,0 a 10,Jesper Ganslandt,"Ação, Crime, Drama, Thriller"
Monster High: Os Pesadelos de Monster High,7.7,0 a 10,Dustin McKenzie,"Animação, Família"
Sissi,7.4,0 a 10,Ernst Marischka,"Comédia, Drama, Romance"
Mulher-Gato: A Caçada,5.667,0 a 10,Shinsuke Terasawa,"Animação, Ação, Crime"
Missão no Mar Vermelho,6.855,0 a 10,Gideon Raff,"Drama, Thriller, História"
Demônio,6.08,0 a 10,John Erick Dowdle,"Terror, Mistério, Thriller"
Stealing Lust,5.0,0 a 10,Hank Hoffman,Romance
O Corvo,6.53,0 a 10,Lew Landers,Terror
Cooties: A Epidemia,5.883,0 a 10,Cary Murnion,"Comédia, Terror"
Até o Limite da Honra,5.7,0 a 10,Bekbolat Shekerov,"Ação, Guerra"
Uma Forma de Assassinato,5.288,0 a 10,Andy Goddard,"Drama, Thriller, Crime"
Uma Prece Antes do Amanhecer,6.729,0 a 10,Jean-Stéphane Sauvaire,"Drama, Ação, Crime"
Sanda,6.3,0 a 10,Nicu Gheorghe,"Drama, Romance, Família"
Alice no País das Maravilhas,6.3,0 a 10,Nick Willing,"Fantasia, Família"
Chocolate,6.968,0 a 10,Lasse Hallström,"Comédia, Drama, Romance"
O Monstro do Mar,6.607,0 a 10,Eugène Lourié,"Drama, Terror, Ficção científica"
Fome Animal,7.393,0 a 10,Peter Jackson,"Terror, Comédia"
Dívida de Sangue,6.3,0 a 10,Elliot Silverstein,"Faroeste, Comédia"
As Feras da Música,6.0,0 a 10,Oz Scott,"Família, Comédia, Drama, Música, Cinema TV"
Vivendo com Chucky,6.757,0 a 10,Kyra Elise Gardner,Documentário
가슴 큰 태희,6.5,0 a 10,Lee Dong-Joon,Romance
Now & Later,5.188,0 a 10,Philippe Diaz,Drama
Oyama - O Lutador Lendário,7.155,0 a 10,Yun-ho Yang,"Ação, Drama"
O Último Pub,7.2,0 a 10,Ken Loach,Drama
Moça com Brinco de Pérola,6.6,0 a 10,Peter Webber,"Drama, Romance"
Hammer of the Gods,3.2,0 a 10,Teodore Chapkunov,"Ação, Aventura, Drama, Fantasia, Cinema TV"
Espíritos Obscuros,6.243,0 a 10,Scott Cooper,"Drama, Terror, Mistério"
Komodo,5.08,0 a 10,Michael Lantieri,"Aventura, Terror, Thriller, Ficção científica"
O Mundo Segundo Garp,6.685,0 a 10,George Roy Hill,"Drama, Comédia"
Inside Llewyn Davis: Balada de um Homem Comum,7.195,0 a 10,Joel Coen,"Drama, Música"
Reféns do Mal,6.439,0 a 10,Stewart Hendler,"Crime, Drama, Terror, Thriller"
Mulher Infernal,5.672,0 a 10,Dennis Dugan,"Comédia, Crime, Romance"
Doctor Who,6.188,0 a 10,Geoffrey Sax,"Cinema TV, Aventura, Ficção científica"
Festa do Pijama Muito Louca,7.0,0 a 10,Veronica Rodriguez,"Comédia, Família"
Bob's Burger: O Filme,7.0,0 a 10,Bernard Derriman,"Animação, Aventura, Comédia"
Álibi,5.678,0 a 10,Kurt Mattila,"Romance, Comédia, Drama"
O Defensor: A História de Bert Trautmann,7.512,0 a 10,Marcus H. Rosenmüller,"Drama, Guerra, História"
阳光灿烂的日子,7.8,0 a 10,Jiang Wen,"Drama, Romance"
Driblando o Destino,6.309,0 a 10,Gurinder Chadha,"Comédia, Drama, Romance"
Território Restrito,6.1,0 a 10,Wayne Kramer,"Crime, Drama"
Uma Festa de Arromba 2: O Baile do Pijama,5.321,0 a 10,George Jackson,Comédia
A Real Pain,0.0,0 a 10,Jesse Eisenberg,"Comédia, Drama"
Pesadelos do Passado,5.656,0 a 10,Nicholas McCarthy,"Terror, Mistério, Thriller"
Puro-Sangue,6.434,0 a 10,Cory Finley,"Drama, Thriller"
O Evangelho Segundo São Mateus,7.4,0 a 10,Pier Paolo Pasolini,Drama
Porno,4.917,0 a 10,Homero Cirelli,Documentário
A Redenção de Gabriel: Part II,7.654,0 a 10,Tosca Musk,Romance
Narc,6.718,0 a 10,Joe Carnahan,"Crime, Drama, Mistério"
Hotel Ruanda,7.719,0 a 10,Terry George,"Drama, História, Guerra"
Mentes Perigosas,6.969,0 a 10,John N. Smith,Drama
Roubo Entre Ladrões,6.129,0 a 10,Tibor Takács,"Ação, Mistério, Thriller, Crime"
Meu Filho das Selvas,5.3,0 a 10,John Pasquin,"Comédia, Família"
Amor e Ódio,7.576,0 a 10,Roselyne Bosch,"Drama, História, Guerra"
As Mulheres de Adam,5.219,0 a 10,Gerard Stembridge,"Comédia, Romance"
Um Rally Muito Louco,5.4,0 a 10,Hal Needham,"Ação, Comédia"
A Sala de Música,7.5,0 a 10,Satyajit Ray,"Drama, Música"
軽井沢夫人,4.8,0 a 10,Masaru Konuma,"Drama, Romance"
Cop Land: Zona Exclusiva,6.776,0 a 10,James Mangold,"Crime, Drama, Thriller"
Pânico no Lago 3,5.142,0 a 10,Griff Furst,"Terror, Ação, Ficção científica, Thriller"
Um Agente na Corda Bamba,6.134,0 a 10,Richard Tuggle,"Mistério, Thriller, Crime, Terror"
Além dos Limites,7.419,0 a 10,Gina Prince-Bythewood,"Comédia, Drama, Romance"
食神,7.1,0 a 10,Stephen Chow,Comédia
Ruas em Guerra,6.8,0 a 10,Lior Geller,"Drama, Ação, Crime, Thriller"
霸王花之皇家賭船,5.2,0 a 10,Wellson Chin Sing-Wai,"Comédia, Ação"
Kung Fu Panda: Especial de Natal,6.9,0 a 10,Tim Johnson,"Animação, Família, Cinema TV, Comédia, Fantasia"
O Vale Proibido,7.175,0 a 10,Jim O'Connolly,"Fantasia, Ficção científica, Thriller, Faroeste, Aventura"
82년생 김지영,7.337,0 a 10,Kim Do-young,Drama
Miss Março: A Garota da Capa,5.5,0 a 10,Zach Cregger,"Comédia, Romance"
Morte Súbita,5.974,0 a 10,Peter Hyams,"Ação, Drama, Thriller"
Girl You Know It's True,7.358,0 a 10,Simon Verhoeven,"Drama, História, Música"
A Sombra dos Acusados,7.0,0 a 10,W.S. Van Dyke,"Comédia, Crime, Mistério"
별장하녀들,1.0,0 a 10,Pae Kon,Drama
O Túmulo dos Vagalumes,7.871,0 a 10,Tōya Satō,Drama
Jogo Entre Ladrões,6.0,0 a 10,Mimi Leder,"Ação, Thriller, Crime"
Jogos Entre Amigos,5.287,0 a 10,Josh Duhamel,Comédia
Ártico,6.502,0 a 10,Joe Penna,"Drama, Aventura"
Mirai,7.173,0 a 10,Mamoru Hosoda,"Animação, Família, Fantasia, Aventura, Drama"
Os Indomáveis,7.205,0 a 10,James Mangold,Faroeste
O Reencontro,7.0,0 a 10,Rob Reiner,"Drama, Comédia"
As Aventuras de Pluto Nash,4.4,0 a 10,Ron Underwood,"Ação, Comédia, Ficção científica"
As Nossas Férias Adoráveis,6.902,0 a 10,Jean Girault,Comédia
A Montanha Sagrada,7.6,0 a 10,Alejandro Jodorowsky,Drama
Vila do Medo,5.649,0 a 10,Takashi Shimizu,"Terror, Drama, Mistério"
Nome de Família,6.731,0 a 10,Mira Nair,"Drama, Família"
Esporte Sangrento,6.861,0 a 10,Sheldon Lettich,Ação
Succubus,0.0,0 a 10,R.J. Daniel Hanna,"Terror, Thriller"
Na Terra de Amor e Ódio,5.8,0 a 10,Angelina Jolie,"Drama, Romance, Guerra"
O Destino do Poseidon,7.085,0 a 10,Ronald Neame,"Aventura, Drama, Thriller"
Un toro da monta,4.0,0 a 10,Roberto Mauri,Comédia
A Recruta Hollywood,6.371,0 a 10,Steve Miner,Comédia
Ghost - Rite Here Rite Now,8.452,0 a 10,Tobias Forge,"Música, Documentário"
LEGO Star Wars: Contos Aterrorizantes,6.837,0 a 10,Ken Cunningham,"Animação, Família, Ficção científica, Comédia, Cinema TV"
Será Que?,6.737,0 a 10,Michael Dowse,"Drama, Comédia, Romance"
Gangster Sem Nome,6.944,0 a 10,Yoon Jong-bin,"Crime, Thriller"
Ligado em Você,5.328,0 a 10,Bobby Farrelly,Comédia
A Volta dos Bravos,5.386,0 a 10,Irwin Winkler,"Guerra, Drama"
Instinto Secreto,6.925,0 a 10,Bruce A. Evans,"Crime, Thriller"
Broken Lance,4.0,0 a 10,Games Workshop,"Animação, Ficção científica, Ação, Terror"
Fate/Stay Night: Unlimited Blade Works,7.1,0 a 10,Yuji Yamaguchi,"Ação, Fantasia, Animação"
Colegas de Classe,8.4,0 a 10,Shouko Nakamura,"Romance, Animação"
Doces Encontros,5.5,0 a 10,Mary Stuart Masterson,"Drama, Romance"
Plano de Aposentadoria,6.3,0 a 10,Tim Brown,"Ação, Comédia, Crime"
Crime na Rodovia Paraíso,5.896,0 a 10,Anna Gutto,"Thriller, Crime, Drama"
"Crown, O Magnífico",6.811,0 a 10,Norman Jewison,"Crime, Romance"
Quando os Bravos se Calam,6.6,0 a 10,John Irvin,"Drama, Guerra, Cinema TV"
Os Excêntricos Tenenbaums,7.5,0 a 10,Wes Anderson,"Comédia, Drama"
Sede de Vingança,6.1,0 a 10,Fouad Mikati,"Drama, Thriller"
O Silêncio,6.585,0 a 10,Baran bo Odar,"Crime, Thriller, Drama"
Vizinhos Imediatos de 3º Grau,5.588,0 a 10,Akiva Schaffer,"Comédia, Ação, Ficção científica"
హలో!,7.048,0 a 10,Vikram Kumar,"Ação, Família, Música, Romance"
A Princesa Encantada: Era Uma Vez…,6.083,0 a 10,Richard Rich,"Família, Animação, Fantasia"
Grease 2: Os Tempos da Brilhantina Voltaram,5.2,0 a 10,Patricia Birch,"Comédia, Música, Romance"
Tengen Toppa Gurren Lagann: Lagann-hen,7.8,0 a 10,Hiroyuki Imaishi,"Ação, Ficção científica, Animação, Aventura"
Drácula – Ele Ainda Está Vivo,5.189,0 a 10,Maximilian Elfeldt,"Terror, Fantasia, Thriller"
EO,6.505,0 a 10,Jerzy Skolimowski,"Drama, Aventura"
Hot Rod: Loucos Sobre Rodas,6.395,0 a 10,Akiva Schaffer,"Comédia, Ação"
Multiverso - Realidade Paralela,6.701,0 a 10,Gaurav Seth,"Ficção científica, Thriller, Drama"
A Patrulha sem Nome,6.5,0 a 10,Keith Gordon,"Drama, Guerra, História"
O Silêncio do Pântano,5.234,0 a 10,Marc Vigil,Thriller
O Sequestro do Ônibus 657,6.113,0 a 10,Scott Mann,"Ação, Crime, Thriller"
Guru,6.8,0 a 10,Mani Ratnam,"Drama, Romance"
A Corrida do Século,7.089,0 a 10,Blake Edwards,"Comédia, Aventura"
Por um Triz,6.3,0 a 10,Carl Franklin,"Thriller, Crime, Drama"
O Homem que Não Estava Lá,7.529,0 a 10,Joel Coen,"Crime, Drama"
Uma Vida Oculta,7.1,0 a 10,Terrence Malick,"História, Drama, Guerra"
As Nadadoras,7.45,0 a 10,Sally El Hosaini,"Drama, História"
A Mais Louca Sexta-Feira em Apuros,6.3,0 a 10,Marcus Raboy,Comédia
욕망의 독: 중독,5.632,0 a 10,Yoon Yeo-chang,"Mistério, Thriller"
Roubo pelos Ares,7.0,0 a 10,Ajay Singh,"Crime, Thriller"
不能說的秘密,7.6,0 a 10,Jay Chou,"Fantasia, Drama, Thriller"
Skyline: A Invasão,5.01,0 a 10,Colin Strause,"Ficção científica, Aventura, Ação, Thriller"
A Grande Escolha,6.7,0 a 10,Ivan Reitman,Drama
Pelos Caminhos do Inferno,7.4,0 a 10,Ted Kotcheff,"Drama, Thriller"
Escape Room,4.885,0 a 10,Peter Dukes,"Terror, Thriller, Fantasia"
O Mago das Mentiras,6.645,0 a 10,Barry Levinson,"Crime, Drama, História, Thriller, Cinema TV"
Arn - O Cavaleiro Templário,6.3,0 a 10,Peter Flinth,"Ação, Aventura, Drama, Romance"
Obrigado Por Fumar,7.194,0 a 10,Jason Reitman,"Comédia, Drama"
A Luta pela Esperança,7.5,0 a 10,Ron Howard,"Romance, Drama, História"
Crimes de Paixão,6.29,0 a 10,Ken Russell,"Crime, Drama, Thriller"
Vingança Solitária,5.687,0 a 10,Stephen Durham,Ação
A Hora da Brutalidade,5.9,0 a 10,John Frankenheimer,"Crime, Drama, Thriller, Ação"
여직원들 : 직장 연애사 3,0.0,0 a 10,Choi Jong-gyoo,Romance
Frankenhooker: Que Pedaço de Mulher,6.182,0 a 10,Frank Henenlotter,"Comédia, Terror, Ficção científica"
I Tyrens tegn,6.9,0 a 10,Werner Hedman,"Romance, Comédia"
Submersão,5.486,0 a 10,Wim Wenders,"Drama, Thriller, Romance"
Minotauro,4.885,0 a 10,Jonathan English,"Terror, Aventura, Fantasia"
O Traidor,6.635,0 a 10,Jeffrey Nachmanoff,"Drama, Ação, Thriller, Crime"
Invencível,7.0,0 a 10,Ericson Core,"Drama, História"
O Cavaleiro do Telhado e a Dama das Sombras,6.471,0 a 10,Jean-Paul Rappeneau,"Aventura, Romance, História, Drama"
Max Steel,5.568,0 a 10,Stewart Hendler,"Ação, Aventura, Ficção científica"
Misha e os Lobos,6.856,0 a 10,Sam Hobkinson,Documentário
Infâmia,7.7,0 a 10,William Wyler,Drama
Instinto Predador,5.585,0 a 10,Nick Powell,"Ação, Aventura, Thriller"
Departamento Q: Em Busca de Vingança,7.2,0 a 10,Christoffer Boe,"Crime, Thriller, Mistério, Drama"
Minha Mãe é uma Sereia,6.709,0 a 10,Richard Benjamin,"Comédia, Drama, Romance"
Tabu,7.042,0 a 10,Miguel Gomes,"Drama, Romance"
Silverado,6.957,0 a 10,Lawrence Kasdan,"Faroeste, Ação"
Desearás al hombre de tu hermana,5.917,0 a 10,Diego Kaplan,"Romance, Drama"
청춘학당 2: 기생난입야사,2.9,0 a 10,Kim Dae-seong-I,Comédia
O Triunfo da Vontade,6.943,0 a 10,Leni Riefenstahl,Documentário
Como Conquistar as Mulheres,6.465,0 a 10,Lewis Gilbert,"Comédia, Drama, Romance"
Frygtelig lykkelig,6.2,0 a 10,Henrik Ruben Genz,"Drama, Thriller"
فيلم ثقافى,6.931,0 a 10,Mohamed Amin,Comédia
Inferno de Dante: Uma Animação Épica,6.9,0 a 10,Lee Seung-Gyu,"Ação, Aventura, Animação, Terror"
Quando Papai Saiu Em Viagem de Negócios,7.318,0 a 10,Emir Kusturica,Drama
Mega Lightning,4.5,0 a 10,David Gregory,"Ação, Terror, Ficção científica"
Barbie: Epic Road Trip,6.6,0 a 10,Conrad Helten,"Comédia, Família, Animação"
Bem-Vindo a Nova York,5.203,0 a 10,Abel Ferrara,Drama
Are All Men Pedophiles?,5.5,0 a 10,Jan-Willem Breure,Documentário
A Turma do Bairro - Operação Z.E.R.O.,7.988,0 a 10,Guy Moore,"Animação, Ficção científica, Cinema TV, Aventura, Família, Comédia, Fantasia, Mistério"
O Meu Nome é Bill,6.087,0 a 10,Bernie Goldmann,"Comédia, Drama, Romance"
Emma,6.7,0 a 10,Douglas McGrath,"Romance, Comédia, Drama"
Buffalo '66,7.117,0 a 10,Vincent Gallo,"Drama, Romance, Comédia"
A Ressurreição da Múmia,6.269,0 a 10,Steven Lawson,Terror
The Dark and the Wicked,6.159,0 a 10,Bryan Bertino,"Terror, Drama, Mistério"
Impetigore: Herança Maldita,6.648,0 a 10,Joko Anwar,"Terror, Thriller, Mistério"
Gente Como a Gente,7.456,0 a 10,Robert Redford,Drama
Alerta Lobo,7.556,0 a 10,Antonin Baudry,"Thriller, Ação, Aventura"
Os Lobos Maus,6.634,0 a 10,Navot Papushado,"Comédia, Crime, Thriller, Terror"
A Mente que Mente,5.962,0 a 10,Sean McGinly,Comédia
Com a Cor e a Coragem,5.846,0 a 10,Malcolm D. Lee,"Ação, Comédia"
Mania de Grandeza,7.4,0 a 10,Gérard Oury,"Comédia, História"
Magia Estranha,7.098,0 a 10,Gary Rydstrom,"Música, Animação, Família, Fantasia"
Magnum 44,7.121,0 a 10,Ted Post,"Drama, Crime, Ação"
Barbie em a Canção de Natal,7.108,0 a 10,William Lau,"Animação, Família"
リバー、流れないでよ,7.1,0 a 10,Junta Yamaguchi,"Comédia, Ficção científica, Fantasia"
Oh Schreck mei Hos' is weg,1.0,0 a 10,Hubert Frank,Comédia
白日之下,7.6,0 a 10,Lawrence Kan,Drama
Wu Kong: Contra a Ira dos Deuses,7.599,0 a 10,Derek Kwok,"Fantasia, Ação, Aventura, Família"
Bishoujo Senshi Sailor Moon S: Hearts in Ice,7.7,0 a 10,Hiroki Shibata,"Animação, Fantasia, Ação, Romance, Comédia"
Os Muppets Conquistam Nova York,6.522,0 a 10,Frank Oz,"Romance, Comédia, Família"
Avante: Nos Bastidores de X-Men '97,5.8,0 a 10,Brad Baruh,Documentário
Dagon,6.1,0 a 10,Stuart Gordon,"Fantasia, Terror, Thriller"
Here Comes Peter Cottontail: The Movie,2.7,0 a 10,Mark Gravas,"Aventura, Animação, Comédia, Família, Fantasia"
Aranhas,4.44,0 a 10,Tibor Takács,"Ficção científica, Thriller"
Shaolin,6.86,0 a 10,Benny Chan,"Ação, Drama"
