titulo,nota,tipo de nota,diretor,generos
O Falcão,8.2,0 a 10,Gerardo Dorantes,"Drama, Ação, Thriller"
Todos Menos Você,6.979,0 a 10,Will Gluck,"Romance, Comédia"
滿清十大酷刑,5.657,0 a 10,Bosco Lam Tsz-Ho,"Terror, Comédia, Drama"
Atlas,6.838,0 a 10,Brad Peyton,"Ficção científica, Ação"
Harry Potter e as Relíquias da Morte - Parte 2,8.096,0 a 10,David Yates,"Fantasia, Aventura"
Venom,6.826,0 a 10,Ruben Fleischer,"Ficção científica, Ação"
Harry Potter e a Câmara Secreta,7.721,0 a 10,Chris Columbus,"Aventura, Fantasia"
John Wick 3: Parabellum,7.447,0 a 10,Chad Stahelski,"Ação, Thriller, Crime"
A Noiva Cadáver,7.563,0 a 10,Mike Johnson,"Romance, Fantasia, Animação"
Harry Potter e o Enigma do Príncipe,7.693,0 a 10,David Yates,"Aventura, Fantasia"
O Poderoso Chefão,8.69,0 a 10,Francis Ford Coppola,"Drama, Crime"
Matador de Aluguel,6.996,0 a 10,Doug Liman,"Ação, Thriller"
Belo Desastre: O Casamento,5.488,0 a 10,Roger Kumble,"Romance, Comédia, Drama"
Os Estranhos: Capítulo 1,6.0,0 a 10,Renny Harlin,"Terror, Thriller"
Amigos Imaginários,7.291,0 a 10,John Krasinski,"Comédia, Fantasia, Família"
Dungeons & Dragons: Honra Entre Rebeldes,7.368,0 a 10,John Francis Daley,"Aventura, Fantasia, Comédia"
Godzilla Minus One,7.578,0 a 10,Takashi Yamazaki,"Ficção científica, Terror, Ação"
Capitão América: Guerra Civil,7.445,0 a 10,Joe Russo,"Aventura, Ação, Ficção científica"
Le Dernier Jaguar,5.813,0 a 10,Gilles de Maistre,"Aventura, Família"
TOGEFILM - Mei Mei,10.0,0 a 10,Diretor não encontrado,"Drama, Romance"
Moana 2,0.0,0 a 10,David G. Derrick Jr.,"Animação, Aventura, Família, Comédia"
O Senhor dos Anéis: As Duas Torres,8.398,0 a 10,Peter Jackson,"Aventura, Fantasia, Ação"
Unang Tikim,5.0,0 a 10,Roman Perez Jr.,"Romance, Drama"
おいら女蛮,4.2,0 a 10,Yusaku Saotome,"Animação, Comédia, Ação"
De Volta para o Futuro,8.317,0 a 10,Robert Zemeckis,"Aventura, Comédia, Ficção científica"
Shrek,7.744,0 a 10,Andrew Adamson,"Animação, Comédia, Fantasia, Aventura, Família"
Breathe,5.2,0 a 10,Stefon Bristol,"Ação, Ficção científica, Mistério, Thriller"
