id,titulo,nota,tipo de nota,diretor
4835,Matador de Aluguel,6.996,0 a 10,Doug Liman
4836,Matador de Goblins: A Coroa do Goblin,7.416,0 a 10,Takaharu Ozaki
4837,Matador em Conflito,6.9,0 a 10,George Armitage
4838,Mate ou Morra,6.883,0 a 10,Joe Carnahan
4839,Matilda,7.162,0 a 10,Danny DeVito
4840,Matilda: O Musical,6.788,0 a 10,Matthew Warchus
4841,Matrix,4.6,0 a 10,The Wachowskis
4842,Matrix Reloaded,4.4,0 a 10,Andy Wachowski
4843,Matrix Resurrections,6.411,0 a 10,Lana Wachowski
4844,Matrix Revolutions,6.728,0 a 10,Lilly Wachowski
4845,Matrix génération,7.6,0 a 10,Benjamin Clavel
4846,Matusalén,6.192,0 a 10,David Galán Galindo
4847,Maus Momentos no Hotel Royale,6.838,0 a 10,Drew Goddard
4848,Mavka: Aventura na Floresta,7.239,0 a 10,Oleg Malamuzh
4849,Max Payne,5.372,0 a 10,John Moore
4850,Max Steel,5.568,0 a 10,Stewart Hendler
4851,Max: O Cão Herói,7.153,0 a 10,Boaz Yakin
4852,Maxxie LaWow: Drag Super-shero,0.0,0 a 10,Anthony Hand
4853,May-December-January,2.0,0 a 10,Mac Alejandre
4854,Maze Runner: A Cura Mortal,7.106,0 a 10,Wes Ball
4855,Maze Runner: Correr ou Morrer,4.2,0 a 10, Wes Ball
4856,Maze Runner: Prova de Fogo,6.732,0 a 10,Wes Ball
4857,Mazinger Z: Infinito,6.837,0 a 10,Junji Shimizu
4858,"McBride: It's Murder, Madam",6.6,0 a 10,Kevin Connor
4859,McQuade: O Lobo Solitário,6.501,0 a 10,Steve Carver
4860,Me Chame Pelo Seu Nome,8.133,0 a 10,Luca Guadagnino
4861,"Me Mate, Querido",5.5,0 a 10,Filip Zylber
4862,Me contro Te: Il film - Vacanze in Transilvania,7.192,0 a 10,Gianluca Leuzzi
4863,Mea Culpa,5.768,0 a 10,Tyler Perry
4864,Medidas Desesperadas,5.939,0 a 10,Barbet Schroeder
4865,Medidas Extremas,5.645,0 a 10,John Stephen Baltazar
4866,Medieval,6.989,0 a 10,Petr Jákl
4867,Medo,5.178,0 a 10,Deon Taylor
4868,Medo Profundo,5.803,0 a 10,Johannes Roberts
4869,Medo Profundo: O Segundo Ataque,5.7,0 a 10,Johannes Roberts
4870,Medo e Delírio,7.208,0 a 10,Terry Gilliam
4871,Meet the Browns,6.688,0 a 10,Tyler Perry
4872,Meet the Feebles,6.288,0 a 10,Peter Jackson
4873,Mega Lightning,4.5,0 a 10,David Gregory
4874,Mega Piranha,3.2,0 a 10,Eric Forsberg
4875,Megaboa,6.353,0 a 10,Mario N. Bonassin
4876,Megalodon: The Frenzy,3.222,0 a 10,Brendan Petrizzo
4877,Megalópolis,4.0,0 a 10,Francis Ford Coppola
4878,Megamente Vs. O Sindicato da Perdição,4.8,0 a 10,Eric Fogel
4879,Megamente: O Botão da Destruição,6.697,0 a 10,Simon J. Smith
4880,Megan Is Missing,6.25,0 a 10,Michael Goi
4881,Megarromântico,6.218,0 a 10,Todd Strauss-Schulson
4882,Megatubarão,6.256,0 a 10,Jon Turteltaub
4883,Megatubarão 2,6.505,0 a 10,Ben Wheatley
4884,Meia Noite em Paris,7.531,0 a 10,Woody Allen
4885,Meia-Noite em Paris,4.4,0 a 10,Woody Allen
4886,Meia-Noite no Switchgrass,5.938,0 a 10,Randall Emmett
4887,"Mektoub, My Love: Canto Uno",6.725,0 a 10,Abdellatif Kechiche
4888,"Mektoub, My Love: Intermezzo",4.1,0 a 10,Abdellatif Kechiche
4889,Melancolia,7.186,0 a 10,Lars von Trier
4890,Melanie: A Última Esperança,6.544,0 a 10,Colm McCarthy
4891,Melhor Viúva Do Que Mal Acompanhada,8.6,0 a 10,Magaby García
4892,Melhor é Impossível,7.395,0 a 10,James L. Brooks
4893,Memento,4.5,0 a 10,Christopher Nolan
4894,Memories,7.425,0 a 10,Katsuhiro Otomo
4895,Memory,7.211,0 a 10,Michel Franco
4896,Memória de um Crime,5.039,0 a 10,Brian A. Miller
4897,Memórias de Ontem,7.4,0 a 10,Isao Takahata
4898,Memórias de um Assassino,8.1,0 a 10,Bong Joon Ho
4899,Memórias de uma Gueixa,7.665,0 a 10,Rob Marshall
4900,Men,4.2,0 a 10, Alex Garland
4901,Men in Black,4.3,0 a 10,Barry Sonnenfeld
4902,Men: Faces do Medo,6.121,0 a 10,Alex Garland
4903,Menina Bonita,7.024,0 a 10,Louis Malle
4904,Menina Má.Com,6.823,0 a 10,David Slade
4905,Menina de Ouro,7.955,0 a 10,Clint Eastwood
4906,Meninas Malvadas,7.211,0 a 10,Mark Waters
4907,Meninas Malvadas 2,5.213,0 a 10,Melanie Mayron
4908,Meninos de Deus,6.6,0 a 10,Peter Care
4909,Menjelang Ajal,6.333,0 a 10,Hadrah Daeng Ratu
4910,Menjelang Magrib,5.2,0 a 10,Helfi C.H. Kardit
4911,Menores Desacompanhados,5.967,0 a 10,Paul Feig
4912,Mens@gem para Você,6.685,0 a 10,Nora Ephron
4913,Mente Criminosa,6.199,0 a 10,Ariel Vromen
4914,Mentes Perigosas,6.969,0 a 10,John N. Smith
4915,Mentes Que Brilham,6.6,0 a 10,Jodie Foster
4916,Mentes Sombrias,7.037,0 a 10,Jennifer Yuh Nelson
4917,Mentir e Roubar,5.9,0 a 10,Matt Aselton
4918,Menudas piezas,7.148,0 a 10,Nacho G. Velilla
4919,Mera Coincidência,7.0,0 a 10,Barry Levinson
4920,Mercy: Golpe de Misericórdia,6.297,0 a 10,Tony Dean Smith
4921,Mergulhando no Amor,6.708,0 a 10,Stelana Kliris
4922,Mergulho Noturno,5.67,0 a 10,Bryce McGuire
4923,Mergulho Radical,5.9,0 a 10,John Stockwell
4924,Mergulho Radical 2: Os Recifes,5.138,0 a 10,Stephen Herek
4925,Mesmo Se Nada Der Certo,7.24,0 a 10,John Carney
4926,Messi,7.5,0 a 10,Álex de la Iglesia
4927,Mestre Kam: A Lenda,7.4,0 a 10,Yuen Wo-Ping
4928,Mestre Z: O Legado de Ip Man,6.5,0 a 10,Yuen Wo-Ping
4929,Mestre do Disfarce,3.984,0 a 10,Perry Andelin Blake
4930,Mestre dos Mares: O Lado Mais Distante do Mundo,7.154,0 a 10,Peter Weir
4931,Mestres do Universo,5.7,0 a 10,Gary Goddard
4932,Mestres do Yin-Yang: O Sonho da Eternidade,7.37,0 a 10,Guo Jingming
4933,Meteoro: A Fuga,5.479,0 a 10,Brett Bentman
4934,Metrópolis,8.126,0 a 10,Fritz Lang
4935,Meu Amigo Enzo,8.198,0 a 10,Simon Curtis
4936,Meu Amigo Lutcha,6.405,0 a 10,Jonás Cuarón
4937,Meu Amigo Pinguim,7.571,0 a 10,David Schurmann
4938,Meu Amigo Robô,8.104,0 a 10,Pablo Berger
4939,Meu Amigo Totoro,8.069,0 a 10,Hayao Miyazaki
4940,"Meu Amigo, O Dragão",6.387,0 a 10,David Lowery
4941,"Meu Amigo, o Dragão",6.323,0 a 10,Don Chaffey
4942,Meu Bebê é o Diabo!,5.159,0 a 10,Thomas Lennon
4943,Meu Cachorro Skip,6.7,0 a 10,Jay Russell
4944,Meu Casamento Feliz,7.1,0 a 10,Ayuko Tsukahara
4945,Meu Ex é um Espião,6.402,0 a 10,Susanna Fogel
4946,Meu Filho das Selvas,5.3,0 a 10,John Pasquin
4947,"Meu Filho, Nosso Mundo",7.111,0 a 10,Tony Goldwyn
4948,Meu Irmão e Eu,7.6,0 a 10,Jin Ong
4949,Meu Jantar com André,7.5,0 a 10,Louis Malle
4950,Meu Malvado Favorito,7.244,0 a 10,Pierre Coffin
4951,Meu Malvado Favorito 2,6.93,0 a 10,Chris Renaud
4952,Meu Malvado Favorito 3,6.469,0 a 10,Kyle Balda
4953,Meu Malvado Favorito 4,7.177,0 a 10,Chris Renaud
4954,"Meu Mestre, Minha Vida",7.309,0 a 10,John G. Avildsen
4955,Meu Monstro de Estimação,6.5,0 a 10,Jay Russell
4956,Meu Namorado é um Zumbi,6.454,0 a 10,Jonathan Levine
4957,Meu Nome Era Eileen,6.2,0 a 10,William Oldroyd
4958,Meu Nome é Chihiro,7.1,0 a 10,Rikiya Imaizumi
4959,Meu Nome é Khan,8.033,0 a 10,Karan Johar
4960,Meu Nome é Loh Kiwan,7.476,0 a 10,Kim Hee-jin
4961,Meu Nome é Rádio,7.254,0 a 10,Michael Tollin
4962,"Meu Nome é Taylor, Drillbit Taylor",5.8,0 a 10,Steven Brill
4963,Meu Nome é Vingança,6.627,0 a 10,Cosimo Gomez
4964,Meu Ofício é Matar,6.4,0 a 10,Lewis Allen
4965,Meu Pai,8.122,0 a 10,Florian Zeller
4966,Meu Papai é Noel,6.485,0 a 10,John Pasquin
4967,Meu Papai é Noel 2,5.967,0 a 10,Michael Lembeck
4968,Meu Papai é Noel 3: A Fuga do Papai Noel,5.509,0 a 10,Michael Lembeck
4969,Meu Primeiro Amor,7.393,0 a 10,Howard Zieff
4970,"Meu Primeiro Amor, Parte 2",5.925,0 a 10,Howard Zieff
4971,Meu Primo Vinny,7.502,0 a 10,Jonathan Lynn
4972,"Meu Professor, Minha Obsessão",5.1,0 a 10,Damián Romay
4973,Meu Trabalho é um Parto,5.442,0 a 10,Lara Shapiro
4974,Meu Vizinho Mafioso,6.448,0 a 10,Jonathan Lynn
4975,Meu Ódio Será Sua Herança,7.606,0 a 10,Sam Peckinpah
4976,Meus Caros Estudos,5.2,0 a 10,Emmanuelle Bercot
4977,Meus Queridos Presidentes,6.0,0 a 10,Peter Segal
4978,Meus Sogros Tão pro Crime,6.0,0 a 10,Tyler Spindel
4979,Meus Vizinhos São um Terror,6.746,0 a 10,Joe Dante
4980,"Meus Vizinhos, Os Yamadas",7.0,0 a 10,Isao Takahata
4981,MexZombies,7.129,0 a 10,Chava Cartas
4982,Mexido,5.521,0 a 10,Leah McKendrick
4983,Mezzo Forte,6.5,0 a 10,Yasuomi Umetsu
4984,Mi Gallo,7.0,0 a 10,Miguel Molleda
4985,Mi prima la sexóloga 2 (de la fantasía a la realidad),6.87,0 a 10,Miguel Chávez
4986,Mia,6.3,0 a 10,Oriol Colomar
4987,Miami Vice,6.003,0 a 10,Michael Mann
4988,Michael Collins: O Preço da Liberdade,6.899,0 a 10,Neil Jordan
4989,Michael Jackson Live In Bucharest: The Dangerous Tour,8.524,0 a 10,Andrew Morahan
4990,Michael Jackson: Searching for Neverland,6.5,0 a 10,Dianne Houston
4991,Mickey 17,0.0,0 a 10,Bong Joon Ho
4992,Mickey e Seus Amigos: Gostosuras ou Travessuras,7.1,0 a 10,David H. Brooks
4993,"Mickey, Donald e Pateta: Os Três Mosqueteiros",6.725,0 a 10,Donovan Cook
4994,Mickey: A História de um Camundongo,7.018,0 a 10,Jeff Malmberg
4995,Midnight Party,5.2,0 a 10,Jesús Franco
4996,Midsommar,4.4,0 a 10, Ari Aster
4997,Midsommar: O Mal Não Espera a Noite,7.165,0 a 10,Ari Aster
4998,Midway: Batalha em Alto Mar,7.1,0 a 10,Roland Emmerich
4999,Migração Alada,7.6,0 a 10,Jacques Perrin
5000,Milagre na Cela 7,8.267,0 a 10,Mehmet Ada Öztekin
5001,Milagre na Rua 34,6.733,0 a 10,Les Mayfield
5002,Milagres do Paraíso,7.44,0 a 10,Patricia Riggen
5003,Milf,4.489,0 a 10,Scott Wheeler
5004,Millennium III: A Rainha do Castelo de Ar,7.054,0 a 10,Daniel Alfredson
5005,Millennium Mambo,6.992,0 a 10,Hou Hsiao-hsien
5006,Millennium: A Garota na Teia de Aranha,6.142,0 a 10,Fede Álvarez
5007,Millennium: Os Homens Que Não Amavam as Mulheres,7.373,0 a 10,David Fincher
5008,Mimadinhos,6.133,0 a 10,Nicolas Cuche
5009,Mina Abandonada,4.6,0 a 10,Steven Sheil
5010,Minari,4.6,0 a 10, Lee Isaac Chung
5011,Minari: Em Busca da Felicidade,7.344,0 a 10,Lee Isaac Chung
5012,Minding the Gap,7.723,0 a 10,Bing Liu
5013,Minha Amante,5.1,0 a 10,Stephen Lance
5014,Minha Amiga Palma,8.134,0 a 10,Alexandr Domogarov Jr.
5015,Minha Arma Era a Lei,6.594,0 a 10,Joe Cornet
5016,Minha Babá é uma Vampira: O Filme,7.0,0 a 10,Bruce McDonald
5017,Minha Bela Dama,7.512,0 a 10,George Cukor
5018,Minha Culpa,7.945,0 a 10,Domingo González
5019,Minha Família Quer que Eu Case,6.062,0 a 10,Shekhar Kapur
5020,Minha Morte,4.99,0 a 10,Darren Lynn Bousman
5021,Minha Mãe,4.5,0 a 10,Christophe Honoré
5022,Minha Mãe é uma Sereia,6.709,0 a 10,Richard Benjamin
5023,Minha Namorada é um Cyborg,7.281,0 a 10,Kwak Jae-yong
5024,Minha Noiva é uma Extraterrestre,5.681,0 a 10,Richard Benjamin
5025,Minha Primeira Barbie,6.4,0 a 10,Kerr Holden
5026,Minha Querida Oni,7.445,0 a 10,Tomotaka Shibayama
5027,Minha Super Ex-Namorada,5.098,0 a 10,Ivan Reitman
5028,Minha Vida Sem Mim,6.0,0 a 10,Isabel Coixet
5029,Minha Vida é um Desastre,6.6,0 a 10,Savage Steve Holland
5030,Minhas Adoráveis Ex-Namoradas,5.96,0 a 10,Mark Waters
5031,Minions,6.41,0 a 10,Kyle Balda
5032,Minions 2: A Origem de Gru,7.326,0 a 10,Kyle Balda
5033,Minority Report: A Nova Lei,7.351,0 a 10,Steven Spielberg
5034,Minotauro,4.885,0 a 10,Jonathan English
5035,Minúsculos: O Filme,7.0,0 a 10,Hélène Giraud
5036,Miracle in Cell No. 7,7.94,0 a 10,Lee Hwan-kyung
5037,Miracolo italiano,4.1,0 a 10,Enrico Oldoini
5038,Miraculous World : London,0.0,0 a 10,Thomas Astruc
5039,"Miraculous World: Nova Iorque, Heróis Unidos",8.1,0 a 10,Thomas Astruc
5040,"Miraculous World: Paris, As Aventuras De Shadybug e Claw Noir",7.246,0 a 10,Thomas Astruc
5041,"Miraculous World: Xangai, a Lenda de Ladydragon",7.906,0 a 10,Thomas Astruc
5042,Miraculous: As Aventuras de Ladybug - O Filme,7.656,0 a 10,Jeremy Zag
5043,Mirai,7.173,0 a 10,Mamoru Hosoda
5044,Miranda,5.188,0 a 10,Tinto Brass
5045,Misery - Louca Obsessão,4.7,0 a 10, Rob Reiner
5046,Misha e os Lobos,6.856,0 a 10,Sam Hobkinson
5047,Mishima: Uma Vida em Quatro Tempos,7.8,0 a 10,Paul Schrader
5048,Miss Bala,6.381,0 a 10,Catherine Hardwicke
5049,Miss Março: A Garota da Capa,5.5,0 a 10,Zach Cregger
5050,Miss Simpatia,6.528,0 a 10,Donald Petrie
5051,Miss Simpatia 2: Armada e Poderosa,5.738,0 a 10,John Pasquin
5052,Mississipi em Chamas,7.674,0 a 10,Alan Parker
5053,Missão Ataque,6.739,0 a 10,Lakshya Raj Anand
5054,Missão Babilônia,5.653,0 a 10,Mathieu Kassovitz
5055,Missão Cegonha 2,6.8,0 a 10,Mette Tange
5056,Missão Cruzada,6.888,0 a 10,Lee Myung-hoon
5057,Missão Madrinha de Casamento,6.52,0 a 10,Paul Feig
5058,Missão Possível,7.533,0 a 10,Kim Hyung-joo
5059,Missão Quase Impossível,5.863,0 a 10,Brian Levant
5060,Missão Resgate,6.828,0 a 10,Jonathan Hensleigh
5061,Missão Secreta,6.9,0 a 10,Kim Sung-hoon
5062,Missão Sexual,7.309,0 a 10,Juliusz Machulski
5063,Missão Suicida,5.6,0 a 10,Jesse V. Johnson
5064,Missão de Sobrevivência,6.838,0 a 10,Ric Roman Waugh
5065,Missão no Mar Vermelho,6.855,0 a 10,Gideon Raff
5066,Missão: Impossível,6.988,0 a 10,Brian De Palma
5067,Missão: Impossível - Acerto de Contas Parte 2,0.0,0 a 10,Christopher McQuarrie
5068,Missão: Impossível - Efeito Fallout,7.431,0 a 10,Christopher McQuarrie
5069,Missão: Impossível - Nação Secreta,7.206,0 a 10,Christopher McQuarrie
5070,Missão: Impossível - Protocolo Fantasma,7.089,0 a 10,Brad Bird
5071,Missão: Impossível 2,6.129,0 a 10,John Woo
5072,Missão: Impossível 3,6.738,0 a 10,J.J. Abrams
5073,Missão: Impossível – Protocolo Fantasma,4.4,0 a 10,Brad Bird
5074,Mistério em Alto Mar,4.924,0 a 10,Alessio Liguori
5075,Mistério em Paris,6.437,0 a 10,Jeremy Garelick
5076,Mistério no Mediterrâneo,6.28,0 a 10,Kyle Newacheck
5077,Mistério no Ártico,6.267,0 a 10,Jesse Palangio
5078,Mistérios da Carne,7.612,0 a 10,Gregg Araki
5079,Miséria,0.0,0 a 10,Liam Norberg
5080,Moana,0.0,0 a 10,Thomas Kail
5081,Moana 2,0.0,0 a 10,David G. Derrick Jr.
5082,Moana: Um Mar de Aventuras,4.0,0 a 10, Ron Clements
5083,Mob Land,5.522,0 a 10,Nicholas Maggio
5084,Mobil Goyang,0.0,0 a 10,Tomeng
5085,Mobile Suit Gundam Hathaway,7.347,0 a 10,Shuko Murase
5086,Mobile Suit Gundam Seed Freedom,6.8,0 a 10,Mitsuo Fukuda
5087,Mobile Suit Gundam: Char Contra-ataca!,7.0,0 a 10,Yoshiyuki Tomino
5088,Mogli: Entre Dois Mundos,6.487,0 a 10,Andy Serkis
5089,Mogli: O Menino Lobo,6.866,0 a 10,Jon Favreau
5090,Mogli: O Menino Lobo 2,5.9,0 a 10,Steve Trenbirth
5091,Moj dida je pao s Marsa,6.8,0 a 10,Dražen Žarković
5092,Mojin - A Lenda Perdida,6.3,0 a 10,Wuershan
5093,Momento Crítico,6.279,0 a 10,Stuart Baird
5094,Momento Inesquecível,6.717,0 a 10,Bill Forsyth
5095,Mommy,8.235,0 a 10,Xavier Dolan
5096,Mommy's Stolen Memories,4.7,0 a 10,Panta Mosleh
5097,"Momonsters, La Película",0.0,0 a 10,Christian Garnez
5098,Mona Lisa,6.885,0 a 10,Neil Jordan
5099,"Monella, a Travessa",5.044,0 a 10,Tinto Brass
5100,Mong & Lóide,6.802,0 a 10,Peter Segal
5101,Monkeybone: No Limite da Imaginação,5.099,0 a 10,Henry Selick
5102,Monolith,5.332,0 a 10,Ivan Silvestrini
5103,Monster High: 13 Monster Desejos,7.6,0 a 10,Steve Sacks
5104,Monster High: Assombrada,7.4,0 a 10,Dan Fraga
5105,"Monster High: Boo York, Boo York",7.7,0 a 10,William Lau
5106,Monster High: Monster Fusion,7.7,0 a 10,William Lau
5107,"Monster High: Monstros, Câmera, Ação!",7.4,0 a 10,Sylvain Blais
5108,Monster High: O Filme,6.862,0 a 10,Todd Holland
5109,Monster High: Os Pesadelos de Monster High,7.7,0 a 10,Dustin McKenzie
5110,Monster High: Por Que os Monstros se Apaixonam?,8.0,0 a 10,Steve Sacks
5111,"Monster High: Scaris,  a Cidade Sem Luz",7.8,0 a 10,Andrew Duncan
5112,Monster High: Uma Festa de Arrepiar,6.8,0 a 10,Mike Fetterly
5113,Monster Hunter,6.588,0 a 10,Paul W. S. Anderson
5114,Monster Trucks,6.109,0 a 10,Chris Wedge
5115,Monster: Desejo Assassino,7.2,0 a 10,Patty Jenkins
5116,Monsternado,5.3,0 a 10,Tyler-James
5117,Monsters: Dark Continent,4.8,0 a 10,Tom Green
5118,Monstro,7.982,0 a 10,Hirokazu Kore-eda
5119,Monstros,6.2,0 a 10,Gareth Edwards
5120,Monstros S.A.,7.846,0 a 10,Pete Docter
5121,Monstros vs Alienígenas,6.223,0 a 10,Rob Letterman
5122,"Monstros, Não Amolem!",6.4,0 a 10,Earl Bellamy
5123,Monstros: A Maldição do Dragão,7.0,0 a 10,Sunghoo Park
5124,Monstrous,5.9,0 a 10,Chris Sivertson
5125,Montanha Gelada,6.923,0 a 10,Anthony Minghella
5126,Monte Carlo,6.566,0 a 10,Thomas Bezucha
5127,Monty Python em Busca do Cálice Sagrado,7.802,0 a 10,Terry Gilliam
5128,Moonfall: Ameaça Lunar,6.326,0 a 10,Roland Emmerich
5129,Moonlight: Sob a Luz do Luar,4.7,0 a 10, Barry Jenkins
5130,Moonrise Kingdom,7.695,0 a 10,Wes Anderson
5131,Moontrap,4.8,0 a 10,Robert Dyke
5132,Moonwalker,6.929,0 a 10,Colin Chilvers
5133,Morando com o Crush,6.0,0 a 10,Hsu Chien
5134,Morbius,6.019,0 a 10,Daniel Espinosa
5135,Morrendo e Aprendendo,6.899,0 a 10,Ron Underwood
5136,Mortal Kombat,4.4,0 a 10, Paul W.S. Anderson
5137,Mortal Kombat Legends: A Vingança de Scorpion,8.103,0 a 10,Ethan Spaulding
5138,Mortal Kombat Legends: Batalha dos Reinos,7.62,0 a 10,Ethan Spaulding
5139,Mortal Kombat Legends: Cage Bom de Luta,6.735,0 a 10,Ethan Spaulding
5140,Mortal Kombat Legends: Cegueira Glacial,7.77,0 a 10,Rick Morales
5141,Mortal Kombat: A Aniquilação,4.497,0 a 10,John R. Leonetti
5142,Mortal Kombat: O Filme,5.851,0 a 10,Paul W. S. Anderson
5143,Mortalmente Perigosa,7.5,0 a 10,Joseph H. Lewis
5144,Mortdecai: A Arte da Trapaça,5.514,0 a 10,David Koepp
5145,Morte Súbita,4.2,0 a 10, Peter Hyams
5146,Morte no Funeral,5.838,0 a 10,Neil LaBute
5147,Morte no Nilo,6.432,0 a 10,Kenneth Branagh
5148,"Morte, Morte, Morte",6.248,0 a 10,Halina Reijn
5149,Moscou Contra 007,7.068,0 a 10,Terence Young
5150,Mother - A Busca Pela Verdade,7.725,0 a 10,Bong Joon Ho
5151,"Mother, Couch!",7.2,0 a 10,Niclas Larsson
5152,Motoqueiro Fantasma,5.575,0 a 10,Mark Steven Johnson
5153,Motoqueiro Fantasma: Espírito de Vingança,5.013,0 a 10,Mark Neveldine
5154,Motoqueiros Selvagens,5.964,0 a 10,Walt Becker
5155,"Mouchette, A Virgem Possuída",7.451,0 a 10,Robert Bresson
5156,Moulin Rouge,4.4,0 a 10,Baz Luhrmann
5157,Moulin Rouge: Amor em Vermelho,7.564,0 a 10,Baz Luhrmann
5158,Mousa,6.603,0 a 10,Peter Mimi
5159,Movidos Pelo Ódio,6.7,0 a 10,Elia Kazan
5160,Movimentos Noturnos,5.834,0 a 10,Kelly Reichardt
5161,Moving Valentine,0.0,0 a 10,Sean King
5162,Moça com Brinco de Pérola,6.6,0 a 10,Peter Webber
5163,Mr. Bean - O Filme,6.5,0 a 10,Mel Smith
5164,Mr. Bones 3: Son of Bones,6.7,0 a 10,Gray Hofmeyr
5165,Mr. Nanny: Uma Babá de Peso,5.073,0 a 10,Michael Gottlieb
5166,Mr. Nice Guy: Bom de Briga,6.505,0 a 10,Sammo Hung
5167,Mr. Vampire IV,7.19,0 a 10,Ricky Lau
5168,Mrtav 'ladan,7.5,0 a 10,Milorad Milinković
5169,Mucha mierda,0.0,0 a 10,Alba Sotorra
5170,Mudança de Hábito,6.826,0 a 10,Emile Ardolino
5171,Mudança de Hábito 2: Mais Loucuras no Convento,6.366,0 a 10,Bill Duke
5172,Mudbound,4.5,0 a 10, Dee Rees
5173,Mufasa: O Rei Leão,0.0,0 a 10,Barry Jenkins
5174,Mugaritz. Sin pan ni postre,0.0,0 a 10,Paco Plaza
5175,Muito Além do Jardim,7.618,0 a 10,Hal Ashby
5176,Muito Bem Acompanhada,6.814,0 a 10,Clare Kilner
5177,Muitos Vivos,4.0,0 a 10,Andrew Stanton
5178,Mukidi,4.2,0 a 10,Anggy Umbara
5179,Mulan,4.4,0 a 10,Tony Bancroft
5180,Mulan 2: A Lenda Continua,6.487,0 a 10,Darrell Rooney
5181,Mulher Infernal,5.672,0 a 10,Dennis Dugan
5182,Mulher Nota 10,5.723,0 a 10,Blake Edwards
5183,Mulher Nota 1000,6.528,0 a 10,John Hughes
5184,Mulher-Gato,4.599,0 a 10,Pitof
5185,Mulher-Gato: A Caçada,5.667,0 a 10,Shinsuke Terasawa
5186,Mulher-Maravilha,7.225,0 a 10,Patty Jenkins
5187,Mulher-Maravilha 1984,6.432,0 a 10,Patty Jenkins
5188,Mulher-Maravilha: Linhagem de Sangue,6.9,0 a 10,Sam Liu
5189,Mulher?,6.8,0 a 10,James Bird
5190,Mulheres Diabólicas,7.3,0 a 10,Claude Chabrol
5191,Mulheres Perfeitas,5.688,0 a 10,Frank Oz
5192,Mulheres ao Ataque,6.425,0 a 10,Nick Cassavetes
5193,Mulheres canibais no abacate selva da morte,4.593,0 a 10,J.F. Lawton
5194,Mulholland Dr.,7.8,0 a 10,David Lynch
5195,Multiple Maniacs,6.4,0 a 10,John Waters
5196,Multiverso - Realidade Paralela,6.701,0 a 10,Gaurav Seth
5197,Mundo Estranho,6.335,0 a 10,Don Hall
5198,Mundo Proibido,5.6,0 a 10,Ralph Bakshi
5199,Mundo em Caos,6.59,0 a 10,Doug Liman
5200,Mundos Opostos,6.274,0 a 10,Juan Diego Solanas
5201,Munique,7.148,0 a 10,Steven Spielberg
5202,Munkar,5.25,0 a 10,Anggy Umbara
5203,Muppets Haunted Mansion: A Festa Aterrorizante,6.446,0 a 10,Kirk R. Thatcher
5204,Muppets: O Filme,7.18,0 a 10,James Frawley
5205,Musa,6.961,0 a 10,Kim Sung-soo
5206,Museu de Cera,6.921,0 a 10,André de Toth
5207,Mushroom Cut,0.0,0 a 10,Kuba Szutkowski
5208,Must auk,0.0,0 a 10,Moonika Siimets
5209,Mutação 2,5.3,0 a 10,Jean de Segonzac
5210,Muti: Crime e Poder,5.926,0 a 10,George Gallo
5211,Mutronics: O Futuro da Raça Humana,5.597,0 a 10,Steve Wang
5212,Mutt,5.842,0 a 10,Vuk Lungulov-Klotz
5213,My Hero Academia: Agora é a Sua Vez,6.5,0 a 10,Tensai Okamura
5214,My Hero Academia: Missão Mundial de Heróis,7.613,0 a 10,Kenji Nagasaki
5215,My Hero Academia: O Filme - 2 Heróis,7.913,0 a 10,Kenji Nagasaki
5216,My Hero Academia: O Filme – Ascensão dos Heróis,8.179,0 a 10,Kenji Nagasaki
5217,"My Little Pony, Equestria Girls: A Lenda de Everfree",7.238,0 a 10,Ishi Rudell
5218,My Little Pony: Equestria Girls,7.341,0 a 10,Jayson Thiessen
5219,My Little Pony: Nova Geração,7.711,0 a 10,Robert Cullen
5220,My Little Pony: O Filme,7.2,0 a 10,Jayson Thiessen
5221,My Next Life as a Villainess: All Routes Lead to Doom! Movie,7.7,0 a 10,Keisuke Inoue
5222,My Old Ass,5.7,0 a 10,Megan Park
5223,My Sassy Girl,7.515,0 a 10,Kwak Jae-yong
5224,Má Educação,7.4,0 a 10,Pedro Almodóvar
5225,Máfia da Dor,6.643,0 a 10,David Yates
5226,Máquina Mortífera,7.289,0 a 10,Richard Donner
5227,Máquina Mortífera 2,7.013,0 a 10,Richard Donner
5228,Máquina Mortífera 3,6.697,0 a 10,Richard Donner
5229,Máquina Mortífera 4,6.588,0 a 10,Richard Donner
5230,Máquinas Mortais,6.209,0 a 10,Christian Rivers
5231,Mártires,7.315,0 a 10,Pascal Laugier
5232,Mãe e Pai,5.38,0 a 10,Brian Taylor
5233,Mãos Talentosas: A História de Ben Carson,7.8,0 a 10,Thomas Carter
5234,Mãos de Pedra: A História Verdadeira de Roberto Durán,6.6,0 a 10,Jonathan Jakubowicz
5235,Mírame,6.8,0 a 10,Pavel Cantú
5236,Música,6.434,0 a 10,Rudy Mancuso
5237,Música e Lágrimas,6.9,0 a 10,Anthony Mann
5238,"Música, Amigos e Festa",6.768,0 a 10,Max Joseph
5239,M家の新妻 変態洗礼,5.8,0 a 10,Tadashi Kyouya
5240,NYAD,7.102,0 a 10,Elizabeth Chai Vasarhelyi
5241,Na Cama com Madonna,4.0,0 a 10,Jean-Baptiste Mondino
5242,Na Companhia do Mal,5.769,0 a 10,William Brent Bell
